"airline_name","airport_name","dep_iata","dep_time","top_airports","top_airlines","destination"
"American Airlines","Chicago O'Hare International Airport","LAX","2023-08-08 06:01",2,4,"Domestic"
"American Airlines","Philadelphia International Airport","LAX","2023-08-08 06:29",1,4,"Domestic"
"Korean Air","Benito Juarez International Airport","LAX","2023-08-08 06:51",3,3,"International"
NA,"Daniel K. Inouye International Airport","LAX","2023-08-08 07:00",3,2,"Domestic"
"Air Tahiti Nui","Chicago O'Hare International Airport","LAX","2023-08-08 07:48",2,2,"Domestic"
"Japan Airlines","Ronald Reagan Washington National Airport","LAX","2023-08-08 07:59",1,3,"Domestic"
"Japan Airlines","Phoenix Sky Harbor International Airport","LAX","2023-08-08 08:20",1,3,"Domestic"
"Virgin Atlantic","Daniel K. Inouye International Airport","LAX","2023-08-08 08:20",3,3,"Domestic"
"Alaska Airlines","Raleigh-Durham International Airport","LAX","2023-08-08 09:00",1,3,"Domestic"
"Hawaiian Airlines","Lihue Airport","LAX","2023-08-08 09:15",1,2,"Domestic"
"Air Tahiti Nui","Dallas/Fort Worth International Airport","LAX","2023-08-08 09:20",1,2,"Domestic"
NA,"Guadalajara International Airport","LAX","2023-08-08 09:20",2,3,"International"
NA,"Daniel K. Inouye International Airport","LAX","2023-08-08 10:00",3,2,"Domestic"
"Korean Air","Guadalajara International Airport","LAX","2023-08-08 10:16",2,3,"International"
NA,"Aguascalientes International Airport","LAX","2023-08-08 10:23",1,3,"International"
"American Airlines","Miami International Airport","LAX","2023-08-08 10:38",1,4,"Domestic"
"Air Premia","Incheon International Airport","LAX","2023-08-08 10:50",3,1,"International"
"Hawaiian Airlines","Kona International Airport","LAX","2023-08-08 11:00",1,2,"Domestic"
NA,"General Francisco J. Mujica International Airport","LAX","2023-08-08 11:23",1,3,"International"
"EL AL","Ben Gurion International Airport","LAX","2023-08-08 11:30",1,1,"International"
"Westjet","Benito Juarez International Airport","LAX","2023-08-08 11:56",3,2,"International"
"Japan Airlines","McCarran International Airport","LAX","2023-08-08 12:25",1,3,"Domestic"
"Korean Air","Incheon International Airport","LAX","2023-08-08 12:30",3,3,"International"
"Singapore Airlines","Incheon International Airport","LAX","2023-08-08 12:40",3,2,"International"
"Singapore Airlines","Taiwan Taoyuan International Airport","LAX","2023-08-08 12:50",1,2,"International"
"Philippine Airlines","Ninoy Aquino International Airport","LAX","2023-08-08 12:50",1,1,"International"
"Delta Air Lines","Jorge Chavez International Airport","LAX","2023-08-08 12:50",1,1,"International"
"Aeroméxico Connect","General Mariano Escobedo International Airport","LAX","2023-08-08 12:50",1,1,"International"
"Virgin Atlantic","Paris Charles de Gaulle Airport","LAX","2023-08-08 13:10",2,3,"International"
"United Airlines","Narita International Airport","LAX","2023-08-08 13:10",3,1,"International"
"LATAM Airlines Chile","Narita International Airport","LAX","2023-08-08 13:35",3,1,"International"
"Wamos Air","Aeropuerto Internacional El Salvador","LAX","2023-08-08 13:50",1,1,"International"
"SAS","Copenhagen Airport","LAX","2023-08-08 13:50",1,1,"International"
"Uzbekistan Airways","Istanbul Atatuerk Airport","LAX","2023-08-08 13:55",1,1,"International"
"Virgin Atlantic","Amsterdam Airport Schiphol","LAX","2023-08-08 13:55",1,3,"International"
"Alaska Airlines","Tokyo International Airport","LAX","2023-08-08 14:05",2,3,"International"
"Air India","Narita International Airport","LAX","2023-08-08 14:20",3,1,"International"
"Westjet","Benito Juarez International Airport","LAX","2023-08-08 14:30",3,2,"International"
"Alaska Airlines","Tokyo International Airport","LAX","2023-08-08 10:40",2,3,"International"
"RwandAir","Hamad International Airport","LAX","2023-08-08 14:45",1,1,"International"
"Avianca Costa Rica","La Aurora International Airport","LAX","2023-08-08 14:45",1,1,"International"
"Air New Zealand","Frankfurt Airport","LAX","2023-08-08 15:00",1,1,"International"
"Austrian","Vienna International Airport","LAX","2023-08-08 15:05",1,1,"International"
"Etihad","Leonardo da Vinci-Fiumicino Airport","LAX","2023-08-08 15:10",1,1,"International"
"KLM Royal Dutch Airlines","Paris Charles de Gaulle Airport","LAX","2023-08-08 15:25",2,1,"International"
"Aeromexico","London Heathrow Airport","LAX","2023-08-08 15:40",2,1,"International"
"American Airlines","London Heathrow Airport","LAX","2023-08-08 15:45",2,4,"International"
