"airline_name","airport_name","dep_iata","dep_time","top_airports","top_airlines","destination"
"British Airways","Chicago O'Hare International Airport","LHR","2023-08-08 12:15",6,84,"International"
"TAP Portugal","Eleftherios Venizelos International Airport","LHR","2023-08-08 12:15",5,4,"International"
"United Airlines","Washington Dulles International Airport","LHR","2023-08-08 12:15",5,10,"International"
"American Airlines","Faro Airport","LHR","2023-08-08 12:00",1,61,"International"
"Finnair","Charlotte Douglas International Airport","LHR","2023-08-08 12:15",2,8,"International"
"Cathay Pacific Airways","Hong Kong International Airport","LHR","2023-08-08 12:20",7,6,"International"
"United Airlines","Zurich Airport","LHR","2023-08-08 12:05",6,10,"International"
"American Airlines","Miami International Airport","LHR","2023-08-08 12:35",3,61,"International"
"China Southern Airlines","Shanghai Pudong International Airport","LHR","2023-08-08 12:25",3,4,"International"
"Austrian","Newark Liberty International Airport","LHR","2023-08-08 12:00",6,1,"International"
"Saudi Arabian Airlines","King Khalid International","LHR","2023-08-08 12:30",3,3,"International"
"Delta Air Lines","Miami International Airport","LHR","2023-08-08 12:30",3,10,"International"
"American Airlines","Chhatrapati Shivaji International Airport","LHR","2023-08-08 10:05",7,61,"International"
"British Airways","Amsterdam Airport Schiphol","LHR","2023-08-08 12:25",9,84,"International"
"Air India","Chhatrapati Shivaji International Airport","LHR","2023-08-08 12:30",7,2,"International"
"British Airways","Jersey Airport","LHR","2023-08-08 12:00",3,84,"International"
"British Airways","Washington Dulles International Airport","LHR","2023-08-08 12:35",5,84,"International"
"Air France","San Francisco International Airport","LHR","2023-08-08 12:10",5,5,"International"
"British Airways","Munich International Airport","LHR","2023-08-08 12:35",8,84,"International"
"Malaysia Airlines","Vienna International Airport","LHR","2023-08-08 12:30",5,7,"International"
"Malaysia Airlines","Copenhagen Airport","LHR","2023-08-08 12:40",6,7,"International"
"American Airlines","Edinburgh Airport","LHR","2023-08-08 12:45",8,61,"Domestic"
"British Airways","Chennai International Airport","LHR","2023-08-08 12:45",1,84,"International"
"Air Canada","Halifax Stanfield International Airport","LHR","2023-08-08 12:40",1,14,"International"
"British Airways","Dallas/Fort Worth International Airport","LHR","2023-08-08 12:50",2,84,"International"
"British Airways","Milano Malpensa Airport","LHR","2023-08-08 12:10",3,84,"International"
"Delta Air Lines","Detroit Metropolitan Wayne County Airport","LHR","2023-08-08 12:55",1,10,"International"
"Eurowings","Duesseldorf International Airport","LHR","2023-08-08 12:10",6,5,"International"
"Iberia","Glasgow International Airport","LHR","2023-08-08 12:50",6,27,"Domestic"
"Singapore Airlines","Seattle-Tacoma International Airport","LHR","2023-08-08 12:10",4,10,"International"
"Thai Airways International","Suvarnabhumi Airport","LHR","2023-08-08 12:30",3,1,"International"
"Lufthansa Cargo","Newark Liberty International Airport","LHR","2023-08-08 13:00",6,16,"International"
"Lufthansa","Newark Liberty International Airport","LHR","2023-08-08 13:00",6,16,"International"
"British Airways","Istanbul Atatuerk Airport","LHR","2023-08-08 12:55",6,84,"International"
"American Airlines","Kotoka International Airport","LHR","2023-08-08 12:45",1,61,"International"
"Finnair","Philadelphia International Airport","LHR","2023-08-08 13:00",2,8,"International"
"Turkish Airlines","Keflavik International Airport","LHR","2023-08-08 13:05",2,3,"International"
"Lufthansa Cargo","Chicago O'Hare International Airport","LHR","2023-08-08 13:05",6,16,"International"
"Lufthansa","Chicago O'Hare International Airport","LHR","2023-08-08 13:05",6,16,"International"
"British Airways","Ljubljana Joze Pucnik Airport","LHR","2023-08-08 13:05",1,84,"International"
"American Airlines","Leonardo da Vinci-Fiumicino Airport","LHR","2023-08-08 12:20",4,61,"International"
"Delta Air Lines","Los Angeles International Airport","LHR","2023-08-08 12:45",7,10,"International"
"United Airlines","San Francisco International Airport","LHR","2023-08-08 12:20",5,10,"International"
"American Airlines","Dublin Airport","LHR","2023-08-08 13:10",10,61,"International"
"British Airways","Larnaca International Airport","LHR","2023-08-08 11:55",2,84,"International"
"Qatar Airways","Duesseldorf International Airport","LHR","2023-08-08 13:20",6,23,"International"
"British Airways","Barcelona-El Prat Airport","LHR","2023-08-08 13:05",4,84,"International"
"American Airlines","Stockholm Arlanda Airport","LHR","2023-08-08 13:20",6,61,"International"
"Virgin Atlantic","John F. Kennedy International Airport","LHR","2023-08-08 13:20",14,10,"International"
"British Airways","Dubai International Airport","LHR","2023-08-08 12:55",7,84,"International"
"Virgin Atlantic","Sangster International Airport","LHR","2023-08-08 12:45",1,10,"International"
"British Airways","Lisbon Humberto Delgado Airport","LHR","2023-08-08 12:55",6,84,"International"
"Air Canada","Beirut International Airport","LHR","2023-08-08 13:00",2,14,"International"
"American Airlines","Aeroport Geneve-Cointrin","LHR","2023-08-08 13:35",7,61,"International"
"British Airways","Zagreb Franjo Tugman Airport","LHR","2023-08-08 08:45",1,84,"International"
"Japan Airlines","Hannover Airport","LHR","2023-08-08 13:10",2,8,"International"
"Qatar Airways","George Best Belfast City Airport","LHR","2023-08-08 13:30",4,23,"Domestic"
"British Airways","Rio de Janeiro-Galeao International Airport","LHR","2023-08-08 12:25",1,84,"International"
"Aer Lingus","Dublin Airport","LHR","2023-08-08 13:25",10,14,"International"
"British Airways","Eleftherios Venizelos International Airport","LHR","2023-08-08 13:25",5,84,"International"
"Brussels Airlines","George Bush Intercontinental Airport","LHR","2023-08-08 13:40",2,2,"International"
"Malaysia Airlines","Paris Charles de Gaulle Airport","LHR","2023-08-08 13:20",6,7,"International"
"Lufthansa Cargo","Munich International Airport","LHR","2023-08-08 13:35",8,16,"International"
"Lufthansa","Munich International Airport","LHR","2023-08-08 13:35",8,16,"International"
"Iberia","Ibiza Airport","LHR","2023-08-08 13:25",1,27,"International"
"American Airlines","Copenhagen Airport","LHR","2023-08-08 13:45",6,61,"International"
"Virgin Atlantic","Shanghai Pudong International Airport","LHR","2023-08-08 13:45",3,10,"International"
"United Airlines","Cork Airport","LHR","2023-08-08 13:50",3,10,"International"
"American Airlines","Bahrain International Airport","LHR","2023-08-08 14:00",2,61,"International"
"British Airways","Dubrovnik Airport","LHR","2023-08-08 13:45",1,84,"International"
"Aer Lingus","John F. Kennedy International Airport","LHR","2023-08-08 13:10",14,14,"International"
"British Airways","Frankfurt Airport","LHR","2023-08-08 13:40",7,84,"International"
"LOT - Polish Airlines","Indira Gandhi International Airport","LHR","2023-08-08 13:15",5,2,"International"
"Thai Lion","Stockholm Arlanda Airport","LHR","2023-08-08 13:55",6,3,"International"
"Virgin Atlantic","Calgary International Airport","LHR","2023-08-08 13:55",1,10,"International"
"British Airways","Venice Marco Polo Airport","LHR","2023-08-08 13:30",3,84,"International"
"Iberia","Toronto Pearson International Airport","LHR","2023-08-08 13:15",4,27,"International"
"Air Canada","Zurich Airport","LHR","2023-08-08 13:45",6,14,"International"
"British Airways","Prague Vaclav Havel Airport","LHR","2023-08-08 13:45",2,84,"International"
"Qatar Airways","Toulouse-Blagnac Airport","LHR","2023-08-08 14:00",2,23,"International"
"British Airways","Budapest Ferenc Liszt International Airport","LHR","2023-08-08 13:50",2,84,"International"
"United Airlines","Montreal-Pierre Elliott Trudeau International Airport","LHR","2023-08-08 14:05",2,10,"International"
"British Airways","Dallas/Fort Worth International Airport","LHR","2023-08-08 14:05",2,84,"International"
"United Airlines","Lisbon Humberto Delgado Airport","LHR","2023-08-08 13:45",6,10,"International"
"British Airways","San Francisco International Airport","LHR","2023-08-08 14:05",5,84,"International"
"Air Canada","San Francisco International Airport","LHR","2023-08-08 14:10",5,14,"International"
"British Airways","Inverness Airport","LHR","2023-08-08 13:10",2,84,"Domestic"
"British Airways","Seattle-Tacoma International Airport","LHR","2023-08-08 14:10",4,84,"International"
"Lufthansa Cargo","Vancouver International Airport","LHR","2023-08-08 14:10",2,16,"International"
"Lufthansa","Vancouver International Airport","LHR","2023-08-08 14:10",2,16,"International"
"Iberia","Warsaw Chopin Airport","LHR","2023-08-08 14:00",3,27,"International"
"Malaysia Airlines","Lyon-Saint Exupery Airport","LHR","2023-08-08 14:10",2,7,"International"
"American Airlines","Aberdeen International Airport","LHR","2023-08-08 14:15",4,61,"Domestic"
"American Airlines","Kempegowda International Airport","LHR","2023-08-08 14:15",1,61,"International"
"American Airlines","Tirana International Airport Nene Tereza","LHR","2023-08-08 14:00",1,61,"International"
"Loganair","Isle of Man Airport","LHR","2023-08-08 14:15",1,3,"International"
"Air Serbia","Belgrade Nikola Tesla Airport","LHR","2023-08-08 13:30",1,1,"International"
"Iberia","King Khalid International","LHR","2023-08-08 14:05",3,27,"International"
"American Airlines","Manchester Airport","LHR","2023-08-08 14:05",4,61,"Domestic"
"British Airways","Paris Charles de Gaulle Airport","LHR","2023-08-08 14:20",6,84,"International"
"British Airways","Dublin Airport","LHR","2023-08-08 14:20",10,84,"International"
"Emirates","Dubai International Airport","LHR","2023-08-08 14:20",7,3,"International"
"Iberia","Chicago O'Hare International Airport","LHR","2023-08-08 14:25",6,27,"International"
"Aer Lingus","John F. Kennedy International Airport","LHR","2023-08-08 14:35",14,14,"International"
"Iberia","Barcelona-El Prat Airport","LHR","2023-08-08 14:25",4,27,"International"
"Qatar Airways","Marseille Provence Airport","LHR","2023-08-08 14:25",2,23,"International"
"United Airlines","Aeroport Geneve-Cointrin","LHR","2023-08-08 14:25",7,10,"International"
"British Airways","Amsterdam Airport Schiphol","LHR","2023-08-08 14:25",9,84,"International"
"British Airways","Valencia Airport","LHR","2023-08-08 14:30",1,84,"International"
"American Airlines","Edinburgh Airport","LHR","2023-08-08 14:20",8,61,"Domestic"
"Aer Lingus","Logan International Airport","LHR","2023-08-08 14:40",5,14,"International"
"Air Belgium","Chicago O'Hare International Airport","LHR","2023-08-08 10:35",6,1,"International"
