"airline_name","airport_name","dep_iata","dep_time","top_airports","top_airlines","destination"
"Swoop","Deer Lake Regional Airport","YYZ","2023-08-08 07:15",2,4,"Domestic"
"Piedmont Airlines","Philadelphia International Airport","YYZ","2023-08-08 07:30",6,1,"International"
"Air Canada","Ottawa Macdonald-Cartier International Airport","YYZ","2023-08-08 07:00",11,81,"Domestic"
"Swoop","Abbotsford Airport","YYZ","2023-08-08 07:10",2,4,"Domestic"
"Porter Airlines","Vancouver International Airport","YYZ","2023-08-08 07:25",16,3,"Domestic"
"Republic Airline","Newark Liberty International Airport","YYZ","2023-08-08 07:30",13,6,"International"
"Flair Airlines","Nashville International Airport","YYZ","2023-08-08 07:20",3,8,"International"
"Swoop","Sangster International Airport","YYZ","2023-08-08 07:20",3,4,"International"
"TAP Portugal","Winnipeg J. A. Richardson International Airport","YYZ","2023-08-08 07:35",12,5,"Domestic"
"Air Canada","London International Airport","YYZ","2023-08-08 07:15",4,81,"Domestic"
"TAP Portugal","Calgary International Airport","YYZ","2023-08-08 07:30",19,5,"Domestic"
"Jazz Aviation","Ronald Reagan Washington National Airport","YYZ","2023-08-08 07:20",4,30,"International"
"Westjet","Lynden Pindling International Airport","YYZ","2023-08-08 07:35",1,11,"International"
"Air Canada","Edmonton International Airport","YYZ","2023-08-08 07:40",12,81,"Domestic"
"KLM Royal Dutch Airlines","Hartsfield-Jackson Atlanta International Airport","YYZ","2023-08-08 07:45",6,6,"International"
"Jazz Aviation","Thunder Bay International Airport","YYZ","2023-08-08 07:50",3,30,"Domestic"
"Air Transat","Ottawa Macdonald-Cartier International Airport","YYZ","2023-08-08 07:45",11,11,"Domestic"
"Delta Air Lines","Orlando International Airport","YYZ","2023-08-08 07:30",3,10,"International"
"Air Canada rouge","Cancun International Airport","YYZ","2023-08-08 07:50",5,13,"International"
"Delta Air Lines","La Guardia Airport","YYZ","2023-08-08 07:56",17,10,"International"
"Jazz Aviation","Saint John Airport","YYZ","2023-08-08 07:55",3,30,"Domestic"
"Jazz Aviation","Timmins/Victor M. Power Airport","YYZ","2023-08-08 08:00",3,30,"Domestic"
"Aeromexico","Calgary International Airport","YYZ","2023-08-08 08:00",19,5,"Domestic"
