"","name","iata_code","country_code"
"1","Chicago O'Hare International Airport","ORD","US"
"2","Hartsfield-Jackson Atlanta International Airport","ATL","US"
"3","Dallas/Fort Worth International Airport","DFW","US"
"4","Los Angeles International Airport","LAX","US"
"5","Charlotte Douglas International Airport","CLT","US"
"6","Soekarno-Hatta International Airport","CGK","ID"
"7","George Bush Intercontinental Airport","IAH","US"
"8","Seattle-Tacoma International Airport","SEA","US"
"9","Tokyo International Airport","HND","JP"
"10","Frankfurt Airport","FRA","DE"
"11","Newark Liberty International Airport","EWR","US"
"12","Amsterdam Airport Schiphol","AMS","NL"
"13","Indira Gandhi International Airport","DEL","IN"
"14","London Heathrow Airport","LHR","GB"
"15","Paris Charles de Gaulle Airport","CDG","FR"
"16","Guangzhou Baiyun International Airport","CAN","CN"
"17","San Francisco International Airport","SFO","US"
"18","Shanghai Pudong International Airport","PVG","CN"
"19","Miami International Airport","MIA","US"
"20","John F. Kennedy International Airport","JFK","US"
"21","Detroit Metropolitan Wayne County Airport","DTW","US"
"22","Beijing Capital International Airport","PEK","CN"
"23","Benito Juarez International Airport","MEX","MX"
"24","Logan International Airport","BOS","US"
"25","Phoenix Sky Harbor International Airport","PHX","US"
"26","Minneapolis-St Paul International Airport","MSP","US"
"27","Munich International Airport","MUC","DE"
"28","Toronto Pearson International Airport","YYZ","CA"
"29","Philadelphia International Airport","PHL","US"
"30","La Guardia Airport","LGA","US"
"31","Adolfo Suarez Madrid-Barajas Airport","MAD","ES"
"32","Shenzhen Bao'an International Airport","SZX","CN"
"33","Dubai International Airport","DXB","AE"
"34","Chengdu Shuangliu International Airport","CTU","CN"
"35","Orlando International Airport","MCO","US"
"36","El Dorado International Airport","BOG","CO"
"37","McCarran International Airport","LAS","US"
"38","Salt Lake City International Airport","SLC","US"
"39","Washington Dulles International Airport","IAD","US"
"40","Barcelona-El Prat Airport","BCN","ES"
"41","Incheon International Airport","ICN","KR"
"42","Sheremetyevo International Airport","SVO","RU"
"43","Ronald Reagan Washington National Airport","DCA","US"
"44","Hong Kong International Airport","HKG","HK"
"45","Ninoy Aquino International Airport","MNL","PH"
"46","Sao Paulo-Guarulhos International Airport","GRU","BR"
"47","Sydney International Airport","SYD","AU"
"48","Shanghai Hongqiao International Airport","SHA","CN"
"49","Chhatrapati Shivaji International Airport","BOM","IN"
"50","Suvarnabhumi Airport","BKK","TH"
"51","Doha International Airport","DIA","QA"
"52","Kuala Lumpur International Airport","KUL","MY"
"53","Kunming Changshui International Airport","KMG","CN"
"54","Xi'an Xianyang International Airport","XIY","CN"
"55","Singapore Changi Airport","SIN","SG"
"56","Vienna International Airport","VIE","AT"
"57","Vancouver International Airport","YVR","CA"
"58","Oslo Airport, Gardermoen","OSL","NO"
"59","Fort Lauderdale-Hollywood International Airport","FLL","US"
"60","Leonardo da Vinci-Fiumicino Airport","FCO","IT"
"61","Zurich Airport","ZRH","CH"
"62","Copenhagen Airport","CPH","DK"
"63","Hangzhou Xiaoshan International Airport","HGH","CN"
"64","Melbourne Airport","MEL","AU"
"65","Chongqing Jiangbei International Airport","CKG","CN"
"66","Sabiha Goekcen International Airport","SAW","TR"
"67","Tan Son Nhat International Airport","SGN","VN"
"68","London Gatwick Airport","LGW","GB"
"69","Paris Orly Airport","ORY","FR"
"70","O.R. Tambo International Airport","JNB","ZA"
"71","Lisbon Humberto Delgado Airport","LIS","PT"
"72","Taiwan Taoyuan International Airport","TPE","TW"
"73","Eleftherios Venizelos International Airport","ATH","GR"
"74","Portland International Airport","PDX","US"
"75","Narita International Airport","NRT","JP"
"76","Calgary International Airport","YYC","CA"
"77","Berlin Brandenburg Airport","BER","DE"
"78","Montreal-Pierre Elliott Trudeau International Airport","YUL","CA"
"79","Stockholm Arlanda Airport","ARN","SE"
"80","Brussels Airport","BRU","BE"
"81","Don Mueang International Airport","DMK","TH"
"82","Brisbane Airport","BNE","AU"
"83","Nanjing Lukou International Airport","NKG","CN"
"84","Palma de Mallorca Airport","PMI","ES"
"85","Dublin Airport","DUB","IE"
"86","Domodedovo International Airport","DME","RU"
"87","Daniel K. Inouye International Airport","HNL","US"
"88","Noi Bai International Airport","HAN","VN"
"89","Cancun International Airport","CUN","MX"
"90","San Diego International Airport","SAN","US"
