"airline_name","airport_name","dep_iata","dep_time","top_airports","top_airlines","destination"
"Iberia","Chicago O'Hare International Airport","LAX","2023-06-05 06:10",9,6,"Domestic"
"American Airlines","Miami International Airport","LAX","2023-06-05 06:00",5,69,"Domestic"
"Iberia","Logan International Airport","LAX","2023-06-05 07:00",1,6,"Domestic"
"Aeromexico","Benito Juarez International Airport","LAX","2023-06-05 07:00",23,23,"International"
"Korean Air","Daniel K. Inouye International Airport","LAX","2023-06-05 07:00",19,10,"Domestic"
"Japan Airlines","Phoenix Sky Harbor International Airport","LAX","2023-06-05 07:17",5,5,"Domestic"
"Japan Airlines","McCarran International Airport","LAX","2023-06-05 08:00",8,5,"Domestic"
"Delta Air Lines","Hartsfield-Jackson Atlanta International Airport","LAX","2023-06-05 07:55",9,32,"Domestic"
"Hawaiian Airlines","Kahului Airport","LAX","2023-06-05 08:15",4,18,"Domestic"
"China Eastern Airlines","Daniel K. Inouye International Airport","LAX","2023-06-05 08:20",19,2,"Domestic"
"China Airlines","San Francisco International Airport","LAX","2023-06-05 08:28",2,8,"Domestic"
"Air Tahiti Nui","Charlotte Douglas International Airport","LAX","2023-06-05 08:55",6,12,"Domestic"
"Alaska Airlines","Raleigh-Durham International Airport","LAX","2023-06-05 09:00",6,13,"Domestic"
"Hawaiian Airlines","Lihue Airport","LAX","2023-06-05 09:15",2,18,"Domestic"
"British Airways","Dallas/Fort Worth International Airport","LAX","2023-06-05 09:20",11,14,"Domestic"
NA,"Guadalajara International Airport","LAX","2023-06-05 09:20",24,39,"International"
"Virgin Atlantic","San Antonio International Airport","LAX","2023-06-05 09:45",7,18,"Domestic"
"Korean Air","Daniel K. Inouye International Airport","LAX","2023-06-05 10:00",19,10,"Domestic"
"Delta Air Lines","Salt Lake City International Airport","LAX","2023-06-05 10:10",4,32,"Domestic"
NA,"General Leobardo C. Ruiz International Airport","LAX","2023-06-05 10:23",3,39,"International"
"American Airlines","Tokyo International Airport","LAX","2023-06-05 10:28",22,69,"International"
"Air Premia","Incheon International Airport","LAX","2023-06-05 10:50",23,4,"International"
"Hawaiian Airlines","Kona International Airport","LAX","2023-06-05 11:00",5,18,"Domestic"
"Aeromexico","Ben Gurion International Airport","LAX","2023-06-05 11:30",4,23,"International"
"Aeromexico","Benito Juarez International Airport","LAX","2023-06-05 11:52",23,23,"International"
"Asiana Airlines","Incheon International Airport","LAX","2023-06-05 12:10",23,1,"International"
"Thai Airways International","Taiwan Taoyuan International Airport","LAX","2023-06-05 12:15",20,4,"International"
"Korean Air","Incheon International Airport","LAX","2023-06-05 12:30",23,10,"International"
"Thai Airways International","Narita International Airport","LAX","2023-06-05 12:45",15,4,"International"
"Philippine Airlines","Ninoy Aquino International Airport","LAX","2023-06-05 12:50",9,9,"International"
"LATAM Airlines Chile","Narita International Airport","LAX","2023-06-05 13:05",15,10,"International"
"Virgin Atlantic","Paris Charles de Gaulle Airport","LAX","2023-06-05 13:10",18,18,"International"
"Copa Airlines","Tocumen International Airport","LAX","2023-06-05 01:20",10,7,"International"
NA,"Oaxaca - Xoxocotlan International Airport","LAX","2023-06-05 13:30",3,39,"International"
"Malaysia Airlines","Tokyo International Airport","LAX","2023-06-05 13:30",22,11,"International"
"Alaska Airlines","Paris Charles de Gaulle Airport","LAX","2023-06-05 13:30",18,13,"International"
"Turkish Airlines","Istanbul Airport","LAX","2023-06-05 13:55",9,4,"International"
"Air Canada","Aeropuerto Internacional El Salvador","LAX","2023-06-05 13:50",12,9,"International"
"SAS","Copenhagen Airport","LAX","2023-06-05 13:50",5,5,"International"
"Air France","Amsterdam Airport Schiphol","LAX","2023-06-05 13:55",8,23,"International"
"Delta Air Lines","Hartsfield-Jackson Atlanta International Airport","LAX","2023-06-05 14:00",9,32,"Domestic"
"Singapore Airlines","Narita International Airport","LAX","2023-06-05 14:20",15,14,"International"
"LATAM Airlines Chile","Kansai International Airport","LAX","2023-06-05 14:25",3,10,"International"
"EL AL","Benito Juarez International Airport","LAX","2023-06-05 14:30",23,3,"International"
"Korean Air","Guadalajara International Airport","LAX","2023-06-05 14:32",24,10,"International"
"Turkish Airlines","La Aurora International Airport","LAX","2023-06-05 14:45",5,4,"International"
"United Airlines","Frankfurt Airport","LAX","2023-06-05 15:00",7,10,"International"
"Austrian","Vienna International Airport","LAX","2023-06-05 15:05",3,4,"International"
"Etihad","Leonardo da Vinci-Fiumicino Airport","LAX","2023-06-05 15:10",5,2,"International"
"Virgin Atlantic","Paris Charles de Gaulle Airport","LAX","2023-06-05 15:25",18,18,"International"
"KLM Royal Dutch Airlines","London Heathrow Airport","LAX","2023-06-05 15:40",38,3,"International"
"American Airlines","London Heathrow Airport","LAX","2023-06-05 15:45",38,69,"International"
"Delta Air Lines","Taiwan Taoyuan International Airport","LAX","2023-06-05 16:20",20,32,"International"
"American Airlines","Fa'a'a International Airport","LAX","2023-06-05 16:30",7,69,"International"
"Air Tahiti Nui","Dallas/Fort Worth International Airport","LAX","2023-06-05 16:30",11,12,"Domestic"
