"airline_name","airport_name","dep_iata","dep_time","top_airports","top_airlines","destination"
"Air Canada","Lisbon Humberto Delgado Airport","LHR","2023-06-08 06:00",65,183,"International"
"Air Canada","Vienna International Airport","LHR","2023-06-08 06:00",44,183,"International"
"Swiss","Zurich Airport","LHR","2023-06-08 06:00",73,61,"International"
"American Airlines","Barcelona-El Prat Airport","LHR","2023-06-08 06:05",47,717,"International"
"Finnair","Adolfo Suarez Madrid-Barajas Airport","LHR","2023-06-08 06:15",79,146,"International"
"British Airways","Prague Vaclav Havel Airport","LHR","2023-06-08 06:15",28,773,"International"
"Air France","Paris Charles de Gaulle Airport","LHR","2023-06-08 06:20",72,67,"International"
"Aegean Airlines","Frankfurt Airport","LHR","2023-06-08 06:30",93,20,"International"
"Air Canada","Warsaw Chopin Airport","LHR","2023-06-08 06:30",34,183,"International"
"British Airways","Leonardo da Vinci-Fiumicino Airport","LHR","2023-06-08 06:30",44,773,"International"
"China Airlines","Amsterdam Airport Schiphol","LHR","2023-06-08 06:30",95,11,"International"
NA,"Istanbul Airport","LHR","2023-06-08 06:45",56,5,"International"
"American Airlines","Dublin Airport","LHR","2023-06-08 06:40",107,717,"International"
"British Airways","Naples International Airport","LHR","2023-06-08 06:40",18,773,"International"
"SAS","Stockholm Arlanda Airport","LHR","2023-06-08 06:40",55,54,"International"
"American Airlines","Aeroport Geneve-Cointrin","LHR","2023-06-08 06:45",70,717,"International"
"British Airways","Zurich Airport","LHR","2023-06-08 06:45",73,773,"International"
"SAS","Copenhagen Airport","LHR","2023-06-08 06:45",60,54,"International"
"American Airlines","Mikonos Airport","LHR","2023-06-08 06:50",7,717,"International"
"British Airways","Berlin Brandenburg Airport","LHR","2023-06-08 06:50",34,773,"International"
"Hainan Airlines","Brussels Airport","LHR","2023-06-08 06:50",37,8,"International"
"Aegean Airlines","Munich International Airport","LHR","2023-06-08 06:55",77,20,"International"
"American Airlines","Francisco de Sa Carneiro Airport","LHR","2023-06-08 06:55",9,717,"International"
"British Airways","Dublin Airport","LHR","2023-06-08 06:55",107,773,"International"
"American Airlines","Larnaca International Airport","LHR","2023-06-08 07:00",23,717,"International"
"British Airways","Manchester Airport","LHR","2023-06-08 07:00",37,773,"Domestic"
"British Airways","Edinburgh Airport","LHR","2023-06-08 07:00",73,773,"Domestic"
"Swiss","Aeroport Geneve-Cointrin","LHR","2023-06-08 07:00",70,61,"International"
"British Airways","Budapest Ferenc Liszt International Airport","LHR","2023-06-08 07:05",20,773,"International"
"British Airways","Munich International Airport","LHR","2023-06-08 07:05",77,773,"International"
"SAS","Oslo Airport, Gardermoen","LHR","2023-06-08 07:05",49,54,"International"
"Finnair","Stockholm Arlanda Airport","LHR","2023-06-08 07:10",55,146,"International"
"British Airways","Glasgow International Airport","LHR","2023-06-08 07:10",56,773,"Domestic"
"British Airways","Paris Charles de Gaulle Airport","LHR","2023-06-08 07:10",72,773,"International"
"British Airways","Vienna International Airport","LHR","2023-06-08 07:10",44,773,"International"
"American Airlines","Milano Linate Airport","LHR","2023-06-08 07:15",29,717,"International"
"Finnair","Copenhagen Airport","LHR","2023-06-08 07:15",60,146,"International"
"British Airways","Jersey Airport","LHR","2023-06-08 07:15",29,773,"International"
"American Airlines","Eleftherios Venizelos International Airport","LHR","2023-06-08 07:20",50,717,"International"
"American Airlines","George Best Belfast City Airport","LHR","2023-06-08 07:25",42,717,"Domestic"
"American Airlines","Oslo Airport, Gardermoen","LHR","2023-06-08 07:30",49,717,"International"
"American Airlines","Helsinki-Vantaa Airport","LHR","2023-06-08 07:30",25,717,"International"
"British Airways","Nice Cote d'Azur International Airport","LHR","2023-06-08 07:30",48,773,"International"
"British Airways","Lisbon Humberto Delgado Airport","LHR","2023-06-08 07:30",65,773,"International"
"American Airlines","Keflavik International Airport","LHR","2023-06-08 07:35",16,717,"International"
"Finnair","Warsaw Chopin Airport","LHR","2023-06-08 07:35",34,146,"International"
NA,"Logan International Airport","LHR","2023-06-08 07:25",49,13,"International"
"British Airways","Newcastle International Airport","LHR","2023-06-08 07:35",27,773,"Domestic"
"British Airways","Duesseldorf International Airport","LHR","2023-06-08 07:35",48,773,"International"
"American Airlines","Dublin Airport","LHR","2023-06-08 07:40",107,717,"International"
"British Airways","Bologna Guglielmo Marconi Airport","LHR","2023-06-08 07:40",19,773,"International"
"American Airlines","Logan International Airport","LHR","2023-06-08 07:45",49,717,"International"
"American Airlines","Barcelona-El Prat Airport","LHR","2023-06-08 07:45",47,717,"International"
"American Airlines","Adolfo Suarez Madrid-Barajas Airport","LHR","2023-06-08 07:45",79,717,"International"
"Air Canada","Newark Liberty International Airport","LHR","2023-06-08 07:45",54,183,"International"
"American Airlines","Edinburgh Airport","LHR","2023-06-08 07:50",73,717,"Domestic"
"British Airways","Florence Peretola Airport","LHR","2023-06-08 07:50",5,773,"International"
"American Airlines","Inverness Airport","LHR","2023-06-08 07:55",13,717,"Domestic"
"American Airlines","Toulouse-Blagnac Airport","LHR","2023-06-08 07:55",15,717,"International"
"American Airlines","Ben Gurion International Airport","LHR","2023-06-08 08:00",37,717,"International"
"Air Canada","Lisbon Humberto Delgado Airport","LHR","2023-06-08 08:00",65,183,"International"
"Air Canada","Washington Dulles International Airport","LHR","2023-06-08 08:00",38,183,"International"
"Air Canada","Duesseldorf International Airport","LHR","2023-06-08 08:05",48,183,"International"
"Finnair","Malaga Airport","LHR","2023-06-08 08:05",12,146,"International"
"British Airways","Houari Boumediene Airport","LHR","2023-06-08 08:05",10,773,"International"
"American Airlines","Brussels Airport","LHR","2023-06-08 08:15",37,717,"International"
"American Airlines","Leonardo da Vinci-Fiumicino Airport","LHR","2023-06-08 08:15",44,717,"International"
"American Airlines","Glasgow International Airport","LHR","2023-06-08 08:15",56,717,"Domestic"
"American Airlines","Aeroport Geneve-Cointrin","LHR","2023-06-08 08:15",70,717,"International"
"American Airlines","Dublin Airport","LHR","2023-06-08 08:20",107,717,"International"
"American Airlines","Amsterdam Airport Schiphol","LHR","2023-06-08 08:20",95,717,"International"
"American Airlines","Tirana International Airport Nene Tereza","LHR","2023-06-08 08:20",5,717,"International"
"Aeromexico","Ben Gurion International Airport","LHR","2023-06-08 08:20",37,30,"International"
"British Airways","Thessaloniki Airport","LHR","2023-06-08 08:20",3,773,"International"
"American Airlines","Luxembourg Findel Airport","LHR","2023-06-08 08:25",10,717,"International"
"American Airlines","Pisa International Airport","LHR","2023-06-08 08:25",12,717,"International"
"American Airlines","John F. Kennedy International Airport","LHR","2023-06-08 08:25",135,717,"International"
"Air Canada","Toronto Pearson International Airport","LHR","2023-06-08 08:30",38,183,"International"
"British Airways","Hamad International Airport","LHR","2023-06-08 08:30",42,773,"International"
"Lufthansa Cargo","Frankfurt Airport","LHR","2023-06-08 08:30",93,107,"International"
"Lufthansa","Frankfurt Airport","LHR","2023-06-08 08:30",93,107,"International"
"American Airlines","Berlin Brandenburg Airport","LHR","2023-06-08 08:35",34,717,"International"
"American Airlines","Venice Marco Polo Airport","LHR","2023-06-08 08:35",25,717,"International"
"American Airlines","Nuremberg Airport","LHR","2023-06-08 08:35",5,717,"International"
"American Airlines","Dallas/Fort Worth International Airport","LHR","2023-06-08 08:40",27,717,"International"
"American Airlines","Corfu International Airport, ""Ioannis Kapodistrias""","LHR","2023-06-08 08:40",10,717,"International"
"Air Canada","Zurich Airport","LHR","2023-06-08 08:40",73,183,"International"
"China Southern Airlines","Amsterdam Airport Schiphol","LHR","2023-06-08 08:40",95,18,"International"
"American Airlines","Manchester Airport","LHR","2023-06-08 08:45",37,717,"Domestic"
"American Airlines","Paris Charles de Gaulle Airport","LHR","2023-06-08 08:45",72,717,"International"
"Air Canada","Hamburg Airport","LHR","2023-06-08 08:45",41,183,"International"
"British Airways","City of Derry Airport","LHR","2023-06-08 08:45",19,773,"Domestic"
"British Airways","Palma de Mallorca Airport","LHR","2023-06-08 08:45",13,773,"International"
"American Airlines","Dublin Airport","LHR","2023-06-08 08:50",107,717,"International"
"Air Canada","Cologne Bonn Airport","LHR","2023-06-08 08:50",18,183,"International"
"American Airlines","Munich International Airport","LHR","2023-06-08 08:55",77,717,"International"
"American Airlines","Barcelona-El Prat Airport","LHR","2023-06-08 08:55",47,717,"International"
"Air France","Nice Cote d'Azur International Airport","LHR","2023-06-08 08:55",48,67,"International"
"Swiss","Aeroport Geneve-Cointrin","LHR","2023-06-08 08:55",70,61,"International"
"American Airlines","Edinburgh Airport","LHR","2023-06-08 09:00",73,717,"Domestic"
"Air France","Paris Charles de Gaulle Airport","LHR","2023-06-08 09:00",72,67,"International"
"British Airways","Hamad International Airport","LHR","2023-06-08 09:00",42,773,"International"
"Lufthansa Cargo","Munich International Airport","LHR","2023-06-08 09:00",77,107,"International"
"Lufthansa","Munich International Airport","LHR","2023-06-08 09:00",77,107,"International"
