"airline_name","airport_name","dep_iata","dep_time","top_airports","top_airlines","destination"
"Porter Airlines","Ottawa Macdonald-Cartier International Airport","YYZ","2023-06-14 07:45",11,3,"Domestic"
"Flair Airlines","John F. Kennedy International Airport","YYZ","2023-06-14 07:45",6,9,"International"
"Alaska Airlines","Dallas/Fort Worth International Airport","YYZ","2023-06-14 07:10",5,1,"International"
"United Airlines","Los Angeles International Airport","YYZ","2023-06-14 07:50",6,46,"International"
"Endeavor Air","La Guardia Airport","YYZ","2023-06-14 07:55",19,3,"International"
"Westjet","Calgary International Airport","YYZ","2023-06-14 07:55",18,24,"Domestic"
"Jazz Aviation","Windsor Airport","YYZ","2023-06-14 07:50",3,26,"Domestic"
"Jazz Aviation","Hartsfield-Jackson Atlanta International Airport","YYZ","2023-06-14 07:50",6,26,"International"
"Air Canada","Denver International Airport","YYZ","2023-06-14 07:59",4,75,"International"
"United Airlines","San Diego International Airport","YYZ","2023-06-14 08:00",2,46,"International"
"United Airlines","Jean Lesage International Airport","YYZ","2023-06-14 08:00",5,46,"Domestic"
"United Airlines","Chicago O'Hare International Airport","YYZ","2023-06-14 08:00",12,46,"International"
"Air Canada","Montreal-Pierre Elliott Trudeau International Airport","YYZ","2023-06-14 08:00",15,75,"Domestic"
"Air Canada","San Francisco International Airport","YYZ","2023-06-14 08:00",4,75,"International"
"Jazz Aviation","Saint John Airport","YYZ","2023-06-14 07:55",1,26,"Domestic"
"Air Canada Rouge","Regina International Airport","YYZ","2023-06-14 08:00",3,19,"Domestic"
"Caspian Airlines","Regina International Airport","YYZ","2023-06-14 08:00",3,19,"Domestic"
"Air Canada Rouge","Cancun International Airport","YYZ","2023-06-14 07:50",5,19,"International"
"Caspian Airlines","Cancun International Airport","YYZ","2023-06-14 07:50",5,19,"International"
"Turkish Airlines","Dallas/Fort Worth International Airport","YYZ","2023-06-14 08:00",5,5,"International"
"Air Canada","Raleigh-Durham International Airport","YYZ","2023-06-14 08:00",3,75,"International"
"Air Canada","Sangster International Airport","YYZ","2023-06-14 08:00",2,75,"International"
"Air Transat","Cancun International Airport","YYZ","2023-06-14 07:00",5,10,"International"
"Jazz Aviation","Thunder Bay International Airport","YYZ","2023-06-14 07:50",3,26,"Domestic"
"Air Canada","Benito Juarez International Airport","YYZ","2023-06-14 08:15",2,75,"International"
"Air Canada","Timmins/Victor M. Power Airport","YYZ","2023-06-14 08:00",3,75,"Domestic"
"Air Canada","Cleveland Hopkins International Airport","YYZ","2023-06-14 08:20",3,75,"International"
"Air Canada","Vancouver International Airport","YYZ","2023-06-14 08:10",15,75,"Domestic"
"Air Canada","Jardines del Rey Airport","YYZ","2023-06-14 08:20",2,75,"International"
"Jazz Aviation","Baltimore-Washington International Airport","YYZ","2023-06-14 08:20",3,26,"International"
"Air Canada Rouge","Grantley Adams International Airport","YYZ","2023-06-14 08:15",1,19,"International"
"Caspian Airlines","Grantley Adams International Airport","YYZ","2023-06-14 08:15",1,19,"International"
"Kish Air","Vancouver International Airport","YYZ","2023-06-14 07:55",15,5,"Domestic"
"Air Canada","Sudbury Airport","YYZ","2023-06-14 08:15",2,75,"Domestic"
"Air Canada","Indianapolis International Airport","YYZ","2023-06-14 08:05",2,75,"International"
"Air Canada","Logan International Airport","YYZ","2023-06-14 07:40",4,75,"International"
"Jazz Aviation","Newark Liberty International Airport","YYZ","2023-06-14 08:30",12,26,"International"
