"airline_name","airport_name","dep_iata","dep_time","top_airports","top_airlines","destination"
"Iberia","Chicago O'Hare International Airport","LAX","2023-06-05 06:10",5,4,"Domestic"
"American Airlines","Miami International Airport","LAX","2023-06-05 06:00",4,38,"Domestic"
"Iberia","Logan International Airport","LAX","2023-06-05 07:00",1,4,"Domestic"
"Aeromexico","Benito Juarez International Airport","LAX","2023-06-05 07:00",13,17,"International"
"Korean Air","Daniel K. Inouye International Airport","LAX","2023-06-05 07:00",13,7,"Domestic"
"Japan Airlines","Phoenix Sky Harbor International Airport","LAX","2023-06-05 07:17",4,4,"Domestic"
"Japan Airlines","McCarran International Airport","LAX","2023-06-05 08:00",3,4,"Domestic"
"Delta Air Lines","Hartsfield-Jackson Atlanta International Airport","LAX","2023-06-05 07:55",5,17,"Domestic"
"Hawaiian Airlines","Kahului Airport","LAX","2023-06-05 08:15",3,12,"Domestic"
"China Eastern Airlines","Daniel K. Inouye International Airport","LAX","2023-06-05 08:20",13,2,"Domestic"
"China Airlines","San Francisco International Airport","LAX","2023-06-05 08:28",2,5,"Domestic"
"Air Tahiti Nui","Charlotte Douglas International Airport","LAX","2023-06-05 08:55",3,7,"Domestic"
"Alaska Airlines","Raleigh-Durham International Airport","LAX","2023-06-05 09:00",4,6,"Domestic"
"Hawaiian Airlines","Lihue Airport","LAX","2023-06-05 09:15",3,12,"Domestic"
"British Airways","Dallas/Fort Worth International Airport","LAX","2023-06-05 09:20",5,8,"Domestic"
NA,"Guadalajara International Airport","LAX","2023-06-05 09:20",14,23,"International"
"Virgin Atlantic","San Antonio International Airport","LAX","2023-06-05 09:45",5,8,"Domestic"
"Korean Air","Daniel K. Inouye International Airport","LAX","2023-06-05 10:00",13,7,"Domestic"
"Delta Air Lines","Salt Lake City International Airport","LAX","2023-06-05 10:10",3,17,"Domestic"
NA,"General Leobardo C. Ruiz International Airport","LAX","2023-06-05 10:23",2,23,"International"
"American Airlines","Tokyo International Airport","LAX","2023-06-05 10:28",13,38,"International"
"Air Premia","Incheon International Airport","LAX","2023-06-05 10:50",14,3,"International"
"Hawaiian Airlines","Kona International Airport","LAX","2023-06-05 11:00",3,12,"Domestic"
"Aeromexico","Ben Gurion International Airport","LAX","2023-06-05 11:30",3,17,"International"
"Aeromexico","Benito Juarez International Airport","LAX","2023-06-05 11:52",13,17,"International"
