"airline_name","airport_name","dep_iata","dep_time","top_airports","top_airlines","destination"
"Qatar Airways","Edinburgh Airport","LHR","2023-06-05 14:15",31,76,"Domestic"
"SAS","Stockholm Arlanda Airport","LHR","2023-06-05 13:55",22,24,"International"
"Brussels Airlines","San Francisco International Airport","LHR","2023-06-05 14:10",17,8,"International"
"American Airlines","Lisbon Humberto Delgado Airport","LHR","2023-06-05 13:35",27,304,"International"
"American Airlines","Chicago O'Hare International Airport","LHR","2023-06-05 14:25",19,304,"International"
"Iberia","Bahrain International Airport","LHR","2023-06-05 14:00",8,81,"International"
"British Airways","King Khalid International","LHR","2023-06-05 14:05",10,306,"International"
"British Airways","Aeroport Geneve-Cointrin","LHR","2023-06-05 14:00",28,306,"International"
"Air Canada","Zurich Airport","LHR","2023-06-05 13:45",30,80,"International"
"American Airlines","Frankfurt Airport","LHR","2023-06-05 14:15",40,304,"International"
"Swiss","Aeroport Geneve-Cointrin","LHR","2023-06-05 14:25",28,27,"International"
"Iberia","Adolfo Suarez Madrid-Barajas Airport","LHR","2023-06-05 14:20",32,81,"International"
"Virgin Atlantic","John F. Kennedy International Airport","LHR","2023-06-05 14:40",54,39,"International"
"British Airways","Eleftherios Venizelos International Airport","LHR","2023-06-05 14:10",20,306,"International"
"American Airlines","Bologna Guglielmo Marconi Airport","LHR","2023-06-05 14:30",8,304,"International"
"British Airways","John F. Kennedy International Airport","LHR","2023-06-05 14:35",54,306,"International"
"Iberia","Miami International Airport","LHR","2023-06-05 14:40",10,81,"International"
"Loganair","Isle of Man Airport","LHR","2023-06-05 14:15",3,6,"International"
"Air Canada","Cologne Bonn Airport","LHR","2023-06-05 14:45",8,80,"International"
"Aer Lingus","San Francisco International Airport","LHR","2023-06-05 14:05",17,41,"International"
"Aer Lingus","Phoenix Sky Harbor International Airport","LHR","2023-06-05 14:40",5,41,"International"
"British Airways","George Bush Intercontinental Airport","LHR","2023-06-05 14:35",9,306,"International"
"Aer Lingus","Logan International Airport","LHR","2023-06-05 14:40",21,41,"International"
"Qantas Airways","Dubai International Airport","LHR","2023-06-05 14:20",24,18,"International"
"Xiamen Airlines","Amsterdam Airport Schiphol","LHR","2023-06-05 14:45",39,5,"International"
"Air New Zealand","Abu Dhabi International Airport","LHR","2023-06-05 14:50",11,7,"International"
"Air Canada","Stuttgart Airport","LHR","2023-06-05 14:35",14,80,"International"
"British Airways","Kempegowda International Airport","LHR","2023-06-05 14:15",3,306,"International"
"United Airlines","Hamburg Airport","LHR","2023-06-05 14:50",17,31,"International"
"American Airlines","Dublin Airport","LHR","2023-06-05 14:20",42,304,"International"
"Virgin Atlantic","Salt Lake City International Airport","LHR","2023-06-05 15:10",3,39,"International"
"American Airlines","Nashville International Airport","LHR","2023-06-05 15:05",3,304,"International"
"Air Canada","Chicago O'Hare International Airport","LHR","2023-06-05 15:20",19,80,"International"
"American Airlines","John F. Kennedy International Airport","LHR","2023-06-05 15:15",54,304,"International"
"British Airways","Amsterdam Airport Schiphol","LHR","2023-06-05 14:30",39,306,"International"
"Qatar Airways","Marseille Provence Airport","LHR","2023-06-05 15:05",8,76,"International"
"Qatar Airways","Lisbon Humberto Delgado Airport","LHR","2023-06-05 15:10",27,76,"International"
"American Airlines","Sofia Airport","LHR","2023-06-05 14:00",4,304,"International"
"Finnair","Falcone-Borsellino Airport","LHR","2023-06-05 15:00",2,58,"International"
"British Airways","Nice Cote d'Azur International Airport","LHR","2023-06-05 15:00",20,306,"International"
"Air France","Seattle-Tacoma International Airport","LHR","2023-06-05 15:25",9,30,"International"
"British Airways","Denver International Airport","LHR","2023-06-05 14:50",6,306,"International"
"Aer Lingus","Shannon Airport","LHR","2023-06-05 14:45",8,41,"International"
"Iberia","Barcelona-El Prat Airport","LHR","2023-06-05 14:30",20,81,"International"
"Air Canada","Cairo International Airport","LHR","2023-06-05 15:00",11,80,"International"
"British Airways","Dublin Airport","LHR","2023-06-05 15:15",42,306,"International"
"Iberia","Manchester Airport","LHR","2023-06-05 15:00",16,81,"Domestic"
"British Airways","John Paul II International Airport Krakow-Balice","LHR","2023-06-05 15:10",2,306,"International"
"American Airlines","Munich International Airport","LHR","2023-06-05 14:40",32,304,"International"
"American Airlines","Ben Gurion International Airport","LHR","2023-06-05 15:15",16,304,"International"
"Oman Air","Hamad International Airport","LHR","2023-06-05 15:05",18,4,"International"
"United Airlines","Vancouver International Airport","LHR","2023-06-05 14:10",6,31,"International"
"American Airlines","Portland International Airport","LHR","2023-06-05 15:30",3,304,"International"
"American Airlines","Paris Charles de Gaulle Airport","LHR","2023-06-05 15:05",28,304,"International"
"British Airways","Duesseldorf International Airport","LHR","2023-06-05 14:15",21,306,"International"
"British Airways","Warsaw Chopin Airport","LHR","2023-06-05 14:20",14,306,"International"
"British Airways","Edinburgh Airport","LHR","2023-06-05 15:20",31,306,"Domestic"
"British Airways","Benito Juarez International Airport","LHR","2023-06-05 15:20",6,306,"International"
"SAS","Oslo Airport, Gardermoen","LHR","2023-06-05 15:35",21,24,"International"
"Aeromexico","Paris Charles de Gaulle Airport","LHR","2023-06-05 15:30",28,12,"International"
"Lufthansa Cargo","Frankfurt Airport","LHR","2023-06-05 15:30",40,42,"International"
"Lufthansa","Frankfurt Airport","LHR","2023-06-05 15:30",40,42,"International"
"Delta Air Lines","Orlando International Airport","LHR","2023-06-05 15:40",4,32,"International"
"TAROM","Henri Coanda International Airport","LHR","2023-06-05 14:50",8,3,"International"
"Aer Lingus","Chicago O'Hare International Airport","LHR","2023-06-05 15:35",19,41,"International"
"British Airways","Rajiv Gandhi International Airport","LHR","2023-06-05 15:00",3,306,"International"
"Air Canada","Dublin Airport","LHR","2023-06-05 15:10",42,80,"International"
"American Airlines","Amsterdam Airport Schiphol","LHR","2023-06-05 15:35",39,304,"International"
"Japan Airlines","Gothenburg-Landvetter Airport","LHR","2023-06-05 15:35",8,36,"International"
"British Airways","Adolfo Suarez Madrid-Barajas Airport","LHR","2023-06-05 15:50",32,306,"International"
