"airline_name","airport_name","dep_iata","dep_time","top_airports","top_airlines","destination"
"Lynx Air","St. John's International Airport","YYZ","2023-06-05 07:20",10,8,"Domestic"
"Air Canada","Vancouver International Airport","YYZ","2023-06-05 09:45",38,179,"Domestic"
"Westjet","La Guardia Airport","YYZ","2023-06-05 10:00",37,50,"International"
"Japan Airlines","Vancouver International Airport","YYZ","2023-06-05 10:00",38,1,"Domestic"
"United Airlines","Austin-Bergstrom International Airport","YYZ","2023-06-05 09:45",2,83,"International"
"Swoop","Halifax Stanfield International Airport","YYZ","2023-06-05 09:45",21,7,"Domestic"
"Westjet","Calgary International Airport","YYZ","2023-06-05 10:00",36,50,"Domestic"
"Porter Airlines","Edmonton International Airport","YYZ","2023-06-05 10:00",27,15,"Domestic"
"Air Canada","Saskatoon John G. Diefenbaker International Airport","YYZ","2023-06-05 10:00",8,179,"Domestic"
"Aeromexico","Benito Juarez International Airport","YYZ","2023-06-05 10:01",6,7,"International"
"United Airlines","Washington Dulles International Airport","YYZ","2023-06-05 10:00",10,83,"International"
"Westjet","Cancun International Airport","YYZ","2023-06-05 10:00",9,50,"International"
"United Airlines","Minneapolis-St Paul International Airport","YYZ","2023-06-05 10:00",12,83,"International"
"Air Canada","Montreal-Pierre Elliott Trudeau International Airport","YYZ","2023-06-05 10:00",39,179,"Domestic"
"Air Canada","Ottawa Macdonald-Cartier International Airport","YYZ","2023-06-05 10:10",26,179,"Domestic"
"Porter Airlines","Calgary International Airport","YYZ","2023-06-05 10:05",36,15,"Domestic"
"Flair Airlines","Vancouver International Airport","YYZ","2023-06-05 10:15",38,21,"Domestic"
"Qatar Airways","John F. Kennedy International Airport","YYZ","2023-06-05 10:26",13,2,"International"
"United Airlines","Winnipeg J. A. Richardson International Airport","YYZ","2023-06-05 10:00",25,83,"Domestic"
"Air Canada","Jean Lesage International Airport","YYZ","2023-06-05 09:50",9,179,"Domestic"
"United Airlines","Newark Liberty International Airport","YYZ","2023-06-05 10:32",27,83,"International"
"Air Canada","Phoenix Sky Harbor International Airport","YYZ","2023-06-05 09:15",2,179,"International"
"Air Canada","Calgary International Airport","YYZ","2023-06-05 10:15",36,179,"Domestic"
"Lynx Air","Orlando International Airport","YYZ","2023-06-05 10:15",9,8,"International"
"American Airlines","Philadelphia International Airport","YYZ","2023-06-05 11:01",12,20,"International"
"All Nippon Airways","Chicago O'Hare International Airport","YYZ","2023-06-05 11:00",26,5,"International"
"American Airlines","La Guardia Airport","YYZ","2023-06-05 10:59",37,20,"International"
"Emirates","Montreal-Pierre Elliott Trudeau International Airport","YYZ","2023-06-05 11:00",39,21,"Domestic"
"Qantas Airways","Los Angeles International Airport","YYZ","2023-06-05 11:00",9,7,"International"
"Westjet","Calgary International Airport","YYZ","2023-06-05 11:00",36,50,"Domestic"
"Air Canada","Edmonton International Airport","YYZ","2023-06-05 11:05",27,179,"Domestic"
"Sunwing Airlines","Daniel Oduber Quiros International Airport","YYZ","2023-06-05 11:00",1,11,"International"
"Air Canada rouge","Fort McMurray Airport","YYZ","2023-06-05 10:15",1,33,"Domestic"
"Air Canada","John F. Kennedy International Airport","YYZ","2023-06-05 11:00",13,179,"International"
"Air Canada","Puerto Plata Airport","YYZ","2023-06-05 11:00",3,179,"International"
"Air Canada","L.F. Wade International Airport","YYZ","2023-06-05 11:20",2,179,"International"
"Air New Zealand","San Francisco International Airport","YYZ","2023-06-05 08:00",8,10,"International"
"Turkish Airlines","Denver International Airport","YYZ","2023-06-05 08:40",7,3,"International"
"Delta Air Lines","Hartsfield-Jackson Atlanta International Airport","YYZ","2023-06-05 11:29",15,20,"International"
"Air Canada","Newark Liberty International Airport","YYZ","2023-06-05 11:30",27,179,"International"
"Air Canada","Lambert-St. Louis International Airport","YYZ","2023-06-05 09:40",4,179,"International"
"Royal Jordanian","Montreal-Pierre Elliott Trudeau International Airport","YYZ","2023-06-05 11:30",39,1,"Domestic"
"Air Canada","Detroit Metropolitan Wayne County Airport","YYZ","2023-06-05 08:55",11,179,"International"
"Air Wisconsin","Chicago O'Hare International Airport","YYZ","2023-06-05 11:35",26,3,"International"
"Aeromexico","John F. Kennedy International Airport","YYZ","2023-06-05 11:10",13,7,"International"
"Delta Air Lines","Vancouver International Airport","YYZ","2023-06-05 12:00",38,20,"Domestic"
"Air Canada","Montreal-Pierre Elliott Trudeau International Airport","YYZ","2023-06-05 12:00",39,179,"Domestic"
"Emirates","Ottawa Macdonald-Cartier International Airport","YYZ","2023-06-05 12:10",26,21,"Domestic"
"Endeavor Air","La Guardia Airport","YYZ","2023-06-05 12:00",37,3,"International"
"Emirates","Edmonton International Airport","YYZ","2023-06-05 12:15",27,21,"Domestic"
"Jazz Aviation","La Guardia Airport","YYZ","2023-06-05 11:55",37,41,"International"
"Air India","Indira Gandhi International Airport","YYZ","2023-06-05 12:15",3,2,"International"
"United Airlines","Nashville International Airport","YYZ","2023-06-05 12:00",6,83,"International"
"United Airlines","Winnipeg J. A. Richardson International Airport","YYZ","2023-06-05 12:20",25,83,"Domestic"
"American Airlines","Charlotte Douglas International Airport","YYZ","2023-06-05 12:00",8,20,"International"
"Air France","Minneapolis-St Paul International Airport","YYZ","2023-06-05 12:25",12,14,"International"
"United Airlines","Logan International Airport","YYZ","2023-06-05 12:15",8,83,"International"
"Air Canada","Miami International Airport","YYZ","2023-06-05 09:50",7,179,"International"
"United Airlines","Chicago O'Hare International Airport","YYZ","2023-06-05 12:30",26,83,"International"
"Westjet","Detroit Metropolitan Wayne County Airport","YYZ","2023-06-05 12:02",11,50,"International"
"Flair Airlines","Calgary International Airport","YYZ","2023-06-05 12:35",36,21,"Domestic"
"Emirates","St. John's International Airport","YYZ","2023-06-05 12:35",10,21,"Domestic"
"Air Canada","Newark Liberty International Airport","YYZ","2023-06-05 12:45",27,179,"International"
"Jetstream International Airlines","Ronald Reagan Washington National Airport","YYZ","2023-06-05 12:47",9,6,"International"
"Westjet","Incheon International Airport","YYZ","2023-06-05 12:40",4,50,"International"
"Air Canada","Hartsfield-Jackson Atlanta International Airport","YYZ","2023-06-05 12:50",15,179,"International"
"Air Canada","Edmonton International Airport","YYZ","2023-06-05 12:50",27,179,"Domestic"
"Air Canada","Narita International Airport","YYZ","2023-06-05 12:55",2,179,"International"
"Republic Airline","La Guardia Airport","YYZ","2023-06-05 12:57",37,6,"International"
"Air New Zealand","Vancouver International Airport","YYZ","2023-06-05 09:00",38,10,"Domestic"
"Porter Airlines","Vancouver International Airport","YYZ","2023-06-05 13:00",38,15,"Domestic"
"Air Canada","Lynden Pindling International Airport","YYZ","2023-06-05 12:55",2,179,"International"
"Air Transat","Calgary International Airport","YYZ","2023-06-05 13:05",36,29,"Domestic"
"Air Canada","Ottawa Macdonald-Cartier International Airport","YYZ","2023-06-05 13:10",26,179,"Domestic"
"Aeromexico","Hartsfield-Jackson Atlanta International Airport","YYZ","2023-06-05 13:10",15,7,"International"
"Air Transat","Halifax Stanfield International Airport","YYZ","2023-06-05 13:10",21,29,"Domestic"
"Austrian","Vancouver International Airport","YYZ","2023-06-05 13:05",38,17,"Domestic"
"Piedmont Airlines","Chicago O'Hare International Airport","YYZ","2023-06-05 13:15",26,1,"International"
"Porter Airlines","Edmonton International Airport","YYZ","2023-06-05 13:15",27,15,"Domestic"
"Air Transat","Ottawa Macdonald-Cartier International Airport","YYZ","2023-06-05 13:20",26,29,"Domestic"
