"airline_iata","airline_icao","flight_iata","flight_icao","flight_number","dep_iata","dep_icao","dep_terminal","dep_time","arr_iata","arr_icao","duration"
"HY","UZB","HY7240","UZB7240","7240","LAX","KLAX","TBIT","2023-06-05 13:55","IST","LTFM",785
"AI","AIC","AI7205","AIC7205","7205","LAX","KLAX","TBIT","2023-06-05 14:20","NRT","RJAA",690
"AM","AMX","AM783","AMX783","783","LAX","KLAX","TBIT","2023-06-05 14:32","GDL","MMGL",200
"AM","AMX","AM647","AMX647","647","LAX","KLAX","TBIT","2023-06-05 14:30","MEX","MMMX",225
"AA","AAL","AA8414","AAL8414","8414","LAX","KLAX","TBIT","2023-06-05 14:25","KIX","RJBB",750
"AV","AVA","AV641","AVA641","641","LAX","KLAX","TBIT","2023-06-05 14:45","GUA","MGGT",290
"AZ","ITY","AZ621","ITY621","621","LAX","KLAX","TBIT","2023-06-05 15:10","FCO","LIRF",710
"G4","AAY","G4797","AAY797","797","LAX","KLAX","TBIT","2023-06-05 15:03","SGF","KSGF",193
"OS","AUA","OS82","AUA82","82","LAX","KLAX","TBIT","2023-06-05 15:05","VIE","LOWW",685
"AF","AFR","AF65","AFR65","65","LAX","KLAX","TBIT","2023-06-05 15:25","CDG","LFPG",650
"LH","DLH","LH457","DLH457","457","LAX","KLAX","TBIT","2023-06-05 15:00","FRA","EDDF",640
"G4","AAY","G4803","AAY803","803","LAX","KLAX","TBIT","2023-06-05 15:35","SHV","KSHV",201
"AF","AFR","AF6757","AFR6757","6757","LAX","KLAX","TBIT","2023-06-05 15:40","LHR","EGLL",620
"AA","AAL","AA6935","AAL6935","6935","LAX","KLAX","TBIT","2023-06-05 15:45","LHR","EGLL",625
"AA","AAL","AA2833","AAL2833","2833","LAX","KLAX","TBIT","2023-06-05 16:30","DFW","KDFW",190
"CI","CAL","CI5","CAL5","5","LAX","KLAX","TBIT","2023-06-05 16:20","TPE","RCTP",835
"LO","LOT","LO22","LOT22","22","LAX","KLAX","TBIT","2023-06-05 16:35","WAW","EPWA",695
"EK","UAE","EK216","UAE216","216","LAX","KLAX","TBIT","2023-06-05 16:40","DXB","OMDB",950
"AA","AAL","AA7223","AAL7223","7223","LAX","KLAX","TBIT","2023-06-05 16:30","PPT","NTAA",490
"AM","AMX","AM3668","AMX3668","3668","LAX","KLAX","TBIT","2023-06-05 16:45","LAS","KLAS",77
"MH","MAS","MH9734","MAS9734","9734","LAX","KLAX","TBIT","2023-06-05 16:35","DOH","OTHH",955
"Y4","VOI","Y4345","VOI345","345","LAX","KLAX","TBIT","2023-06-05 17:11","GDL","MMGL",192
"NH","ANA","NH125","ANA125","125","LAX","KLAX","TBIT","2023-06-05 17:15","HND","RJTT",700
"AA","AAL","AA6991","AAL6991","6991","LAX","KLAX","TBIT","2023-06-05 17:05","LHR","EGLL",625
"LH","DLH","LH453","DLH453","453","LAX","KLAX","TBIT","2023-06-05 17:10","MUC","EDDM",665
"B6","JBU","B65809","JBU5809","5809","LAX","KLAX","TBIT","2023-06-05 18:00","HNL","PHNL",350
"AA","AAL","AA2017","AAL2017","2017","LAX","KLAX","TBIT","2023-06-05 18:03","AUS","KAUS",187
"AF","AFR","AF9275","AFR9275","9275","LAX","KLAX","TBIT","2023-06-05 17:55","LHR","EGLL",620
"AA","AAL","AA8568","AAL8568","8568","LAX","KLAX","TBIT","2023-06-05 18:00","MAD","LEMD",665
"G4","AAY","G4782","AAY782","782","LAX","KLAX","TBIT","2023-06-05 17:38","MFR","KMFR",115
"AA","AAL","AA134","AAL134","134","LAX","KLAX","TBIT","2023-06-05 18:13","LHR","EGLL",637
"AA","AAL","AA2991","AAL2991","2991","LAX","KLAX","TBIT","2023-06-05 18:15","SAT","KSAT",170
"AF","AFR","AF69","AFR69","69","LAX","KLAX","TBIT","2023-06-05 18:20","CDG","LFPG",650
"HY","UZB","HY7280","UZB7280","7280","LAX","KLAX","TBIT","2023-06-05 18:35","IST","LTFM",780
"AF","AFR","AF8927","AFR8927","8927","LAX","KLAX","TBIT","2023-06-05 18:40","MEM","KMEM",223
"AA","AAL","AA8984","AAL8984","8984","LAX","KLAX","TBIT","2023-06-05 18:45","HEL","EFHK",635
"AM","AMX","AM643","AMX643","643","LAX","KLAX","TBIT","2023-06-05 19:02","MEX","MMMX",233
"LH","DLH","LH451","DLH451","451","LAX","KLAX","TBIT","2023-06-05 18:40","FRA","EDDF",670
"Y4","VOI","Y4913","VOI913","913","LAX","KLAX","TBIT","2023-06-05 19:11","GDL","MMGL",192
"LX","SWR","LX41","SWR41","41","LAX","KLAX","TBIT","2023-06-05 19:25","ZRH","LSZH",675
"BF","FBU","BF731","FBU731","731","LAX","KLAX","TBIT","2023-06-05 19:45","ORY","LFPO",650
"AM","AMX","AM3933","AMX3933","3933","LAX","KLAX","TBIT","2023-06-05 19:47","SEA","KSEA",165
"AA","AAL","AA8601","AAL8601","8601","LAX","KLAX","TBIT","2023-06-05 19:55","BCN","LEBL",705
"BA","BAW","BA6122","BAW6122","6122","LAX","KLAX","TBIT","2023-06-05 20:15","DUB","EIDW",615
"AF","AFR","AF9092","AFR9092","9092","LAX","KLAX","TBIT","2023-06-05 20:25","LHR","EGLL",625
"SV","SVA","SV42","SVA42","42","LAX","KLAX","TBIT","2023-06-05 20:40","JED","OEJN",920
"AV","AVA","AV83","AVA83","83","LAX","KLAX","TBIT","2023-06-05 20:45","BOG","SKBO",420
"AA","AAL","AA6983","AAL6983","6983","LAX","KLAX","TBIT","2023-06-05 20:55","LHR","EGLL",625
"DL","DAL","DL7349","DAL7349","7349","LAX","KLAX","TBIT","2023-06-05 21:10","LIM","SPJC",500
"AF","AFR","AF79","AFR79","79","LAX","KLAX","TBIT","2023-06-05 21:15","CDG","LFPG",640
"AA","AAL","AA7263","AAL7263","7263","LAX","KLAX","TBIT","2023-06-05 21:20","BNE","YBBN",880
"AC","ACA","AC6092","ACA6092","6092","LAX","KLAX","TBIT","2023-06-05 22:00","AKL","NZAA",780
"BR","EVA","BR3175","EVA3175","3175","LAX","KLAX","TBIT","2023-06-05 22:06","PTY","MPTO",396
"AA","AAL","AA7356","AAL7356","7356","LAX","KLAX","TBIT","2023-06-05 22:20","MEL","YMML",925
"AF","AFR","AF2151","AFR2151","2151","LAX","KLAX","TBIT","2023-06-05 22:28","TPA","KTPA",288
"AF","AFR","AF9654","AFR9654","9654","LAX","KLAX","TBIT","2023-06-05 22:50","LHR","EGLL",620
"AA","AAL","AA73","AAL73","73","LAX","KLAX","TBIT","2023-06-05 22:54","SYD","YSSY",911
"CM","CMP","CM8003","CMP8003","8003","LAX","KLAX","TBIT","2023-06-05 23:00","ICN","RKSI",800
"AM","AMX","AM6701","AMX6701","6701","LAX","KLAX","TBIT","2023-06-05 23:30","ICN","RKSI",800
"AA","AAL","AA7387","AAL7387","7387","LAX","KLAX","TBIT","2023-06-05 23:40","SYD","YSSY",905
"PR","PAL","PR103","PAL103","103","LAX","KLAX","TBIT","2023-06-05 23:40","MNL","RPLL",900
"SQ","SIA","SQ37","SIA37","37","LAX","KLAX","TBIT","2023-06-05 23:40","SIN","WSSS",1030
"AA","AAL","AA7212","AAL7212","7212","LAX","KLAX","TBIT","2023-06-05 23:55","NAN","NFFN",650
"AA","AAL","AA340","AAL340","340","LAX","KLAX","TBIT","2023-06-05 23:59","MIA","KMIA",316
"CI","CAL","CI7","CAL7","7","LAX","KLAX","TBIT","2023-06-06 00:05","TPE","RCTP",835
"AV","AVA","AV4500","AVA4500","4500","LAX","KLAX","TBIT","2023-06-06 00:15","TPE","RCTP",835
"Y4","VOI","Y4919","VOI919","919","LAX","KLAX","TBIT","2023-06-06 00:43","GDL","MMGL",192
"Y4","VOI","Y4921","VOI921","921","LAX","KLAX","TBIT","2023-06-06 00:43","MLM","MMMM",203
"BR","EVA","BR15","EVA15","15","LAX","KLAX","TBIT","2023-06-06 00:50","TPE","RCTP",835
"Y4","VOI","Y4899","VOI899","899","LAX","KLAX","TBIT","2023-06-06 00:50","BJX","MMLO",193
"AA","AAL","AA169","AAL169","169","LAX","KLAX","TBIT","2023-06-06 00:58","HND","RJTT",707
"AC","ACA","AC6158","ACA6158","6158","LAX","KLAX","TBIT","2023-06-06 01:00","SAL","MSLP",300
"Y4","VOI","Y4917","VOI917","917","LAX","KLAX","TBIT","2023-06-06 01:10","GDL","MMGL",192
"AA","AAL","AA8934","AAL8934","8934","LAX","KLAX","TBIT","2023-06-06 01:15","HKG","VHHH",870
"BR","EVA","BR3177","EVA3177","3177","LAX","KLAX","TBIT","2023-06-06 01:20","PTY","MPTO",402
"NH","ANA","NH105","ANA105","105","LAX","KLAX","TBIT","2023-06-06 01:20","HND","RJTT",700
"BR","EVA","BR3173","EVA3173","3173","LAX","KLAX","TBIT","2023-06-06 01:54","PTY","MPTO",402
