"airline_iata","airline_icao","flight_iata","flight_icao","flight_number","dep_iata","dep_icao","dep_terminal","dep_time","arr_iata","arr_icao","delayed","duration"
"TN","THT","TN1311","THT1311","1311","LAX","KLAX","TBIT","2023-06-07 06:00","CLT","KCLT",NA,293
"B6","JBU","B65801","JBU5801","5801","LAX","KLAX","TBIT","2023-06-07 07:00","HNL","PHNL",NA,350
"KE","KAL","KE7949","KAL7949","7949","LAX","KLAX","TBIT","2023-06-07 07:00","MEX","MMMX",NA,233
"VS","VIR","VS1884","VIR1884","1884","LAX","KLAX","TBIT","2023-06-07 07:15","SLC","KSLC",NA,115
"TN","THT","TN1298","THT1298","1298","LAX","KLAX","TBIT","2023-06-07 07:17","PHX","KPHX",NA,92
"IB","IBE","IB4536","IBE4536","4536","LAX","KLAX","TBIT","2023-06-07 07:45","ORD","KORD",NA,249
"HA","HAL","HA33","HAL33","33","LAX","KLAX","TBIT","2023-06-07 08:15","OGG","PHOG",NA,345
"G4","AAY","G4801","AAY801","801","LAX","KLAX","TBIT","2023-06-07 09:00","ICT","KICT",NA,174
"AS","ASA","AS6589","ASA6589","6589","LAX","KLAX","TBIT","2023-06-07 09:00","RDU","KRDU",NA,306
"HA","HAL","HA63","HAL63","63","LAX","KLAX","TBIT","2023-06-07 09:15","LIH","PHLI",NA,360
"Y4","VOI","Y4915","VOI915","915","LAX","KLAX","TBIT","2023-06-07 09:20","GDL","MMGL",NA,192
"AA","AAL","AA1881","AAL1881","1881","LAX","KLAX","TBIT","2023-06-07 09:25","PVR","MMPR",NA,188
"DL","DAL","DL1865","DAL1865","1865","LAX","KLAX","TBIT","2023-06-07 10:00","PVR","MMPR",NA,181
"HA","HAL","HA3","HAL3","3","LAX","KLAX","TBIT","2023-06-07 10:00","HNL","PHNL",NA,350
"VN","HVN","VN3029","HVN3029","3029","LAX","KLAX","TBIT","2023-06-07 10:20","HND","RJTT",NA,715
"Y4","VOI","Y4923","VOI923","923","LAX","KLAX","TBIT","2023-06-07 10:23","ZCL","MMZC",NA,179
"AA","AAL","AA27","AAL27","27","LAX","KLAX","TBIT","2023-06-07 10:28","HND","RJTT",NA,712
"YP","APZ","YP102","APZ102","102","LAX","KLAX","TBIT","2023-06-07 10:50","ICN","RKSI",NA,775
"HA","HAL","HA61","HAL61","61","LAX","KLAX","TBIT","2023-06-07 11:00","KOA","PHKO",NA,340
"TN","THT","TN1142","THT1142","1142","LAX","KLAX","TBIT","2023-06-07 11:20","ORD","KORD",NA,250
"LY","ELY","LY6","ELY6","6","LAX","KLAX","TBIT","2023-06-07 11:30","TLV","LLBG",NA,835
"AM","AMX","AM645","AMX645","645","LAX","KLAX","TBIT","2023-06-07 11:52","MEX","MMMX",NA,233
"OZ","AAR","OZ201","AAR201","201","LAX","KLAX","TBIT","2023-06-07 12:10","ICN","RKSI",NA,805
"BR","EVA","BR5","EVA5","5","LAX","KLAX","TBIT","2023-06-07 12:15","TPE","RCTP",NA,830
"AM","AMX","AM6703","AMX6703","6703","LAX","KLAX","TBIT","2023-06-07 12:30","ICN","RKSI",NA,800
"UA","UAL","UA7945","UAL7945","7945","LAX","KLAX","TBIT","2023-06-07 12:45","NRT","RJAA",NA,705
"LA","LAN","LA2479","LAN2479","2479","LAX","KLAX","TBIT","2023-06-07 12:50","LIM","SPJC",NA,515
"PR","PAL","PR113","PAL113","113","LAX","KLAX","TBIT","2023-06-07 12:50","MNL","RPLL",NA,880
"Y4","VOI","Y4995","VOI995","995","LAX","KLAX","TBIT","2023-06-07 12:57","MEX","MMMX",NA,233
"AS","ASA","AS7311","ASA7311","7311","LAX","KLAX","TBIT","2023-06-07 13:05","NRT","RJAA",NA,695
"AA","AAL","AA8938","AAL8938","8938","LAX","KLAX","TBIT","2023-06-07 13:15","HKG","VHHH",NA,880
"MH","MAS","MH9171","MAS9171","9171","LAX","KLAX","TBIT","2023-06-07 13:30","HND","RJTT",NA,715
"Y4","VOI","Y4663","VOI663","663","LAX","KLAX","TBIT","2023-06-07 13:30","OAX","MMOX",NA,242
"AS","ASA","AS5508","ASA5508","5508","LAX","KLAX","TBIT","2023-06-07 13:30","CDG","LFPG",NA,635
"BR","EVA","BR3101","EVA3101","3101","LAX","KLAX","TBIT","2023-06-07 13:50","SAL","MSLP",NA,300
"SK","SAS","SK932","SAS932","932","LAX","KLAX","TBIT","2023-06-07 13:50","CPH","EKCH",NA,640
"DL","DAL","DL9468","DAL9468","9468","LAX","KLAX","TBIT","2023-06-07 13:55","AMS","EHAM",NA,610
"TK","THY","TK180","THY180","180","LAX","KLAX","TBIT","2023-06-07 13:55","IST","LTFM",NA,785
"SQ","SIA","SQ11","SIA11","11","LAX","KLAX","TBIT","2023-06-07 14:20","NRT","RJAA",NA,690
"MH","MAS","MH9141","MAS9141","9141","LAX","KLAX","TBIT","2023-06-07 14:25","KIX","RJBB",NA,750
"AA","AAL","AA7356","AAL7356","7356","LAX","KLAX","TBIT","2023-06-06 22:20","MEL","YMML",1339,925
