"airline_iata","airline_icao","flight_iata","flight_icao","flight_number","dep_iata","dep_icao","dep_terminal","dep_time","arr_iata","arr_icao","duration"
"BR","EVA","BR3173","EVA3173","3173","LAX","KLAX","TBIT","2023-06-06 01:54","PTY","MPTO",402
"HA","HAL","HA1","HAL1","1","LAX","KLAX","TBIT","2023-06-06 07:00","HNL","PHNL",350
"AM","AMX","AM649","AMX649","649","LAX","KLAX","TBIT","2023-06-06 07:00","MEX","MMMX",233
"AA","AAL","AA899","AAL899","899","LAX","KLAX","TBIT","2023-06-06 07:17","PHX","KPHX",92
"AA","AAL","AA1146","AAL1146","1146","LAX","KLAX","TBIT","2023-06-06 07:26","CLT","KCLT",295
"MH","MAS","MH9330","MAS9330","9330","LAX","KLAX","TBIT","2023-06-06 06:00","MIA","KMIA",314
"TN","THT","TN1332","THT1332","1332","LAX","KLAX","TBIT","2023-06-06 08:08","MIA","KMIA",326
"AS","ASA","AS6589","ASA6589","6589","LAX","KLAX","TBIT","2023-06-06 09:00","RDU","KRDU",306
"HA","HAL","HA63","HAL63","63","LAX","KLAX","TBIT","2023-06-06 09:15","LIH","PHLI",360
"QF","QFA","QF4153","QFA4153","4153","LAX","KLAX","TBIT","2023-06-06 09:20","DFW","KDFW",206
"Y4","VOI","Y4915","VOI915","915","LAX","KLAX","TBIT","2023-06-06 09:20","GDL","MMGL",192
"B6","JBU","B65803","JBU5803","5803","LAX","KLAX","TBIT","2023-06-06 10:00","HNL","PHNL",350
"DL","DAL","DL1865","DAL1865","1865","LAX","KLAX","TBIT","2023-06-06 10:00","PVR","MMPR",181
"Y4","VOI","Y4925","VOI925","925","LAX","KLAX","TBIT","2023-06-06 10:23","AGU","MMAS",185
"JL","JAL","JL7017","JAL7017","7017","LAX","KLAX","TBIT","2023-06-06 10:28","HND","RJTT",712
"YP","APZ","YP102","APZ102","102","LAX","KLAX","TBIT","2023-06-06 10:50","ICN","RKSI",775
"HA","HAL","HA61","HAL61","61","LAX","KLAX","TBIT","2023-06-06 11:00","KOA","PHKO",340
"Y4","VOI","Y45921","VOI5921","5921","LAX","KLAX","TBIT","2023-06-06 11:23","MLM","MMMM",203
"LY","ELY","LY6","ELY6","6","LAX","KLAX","TBIT","2023-06-06 11:30","TLV","LLBG",835
"LY","ELY","LY8215","ELY8215","8215","LAX","KLAX","TBIT","2023-06-06 11:52","MEX","MMMX",233
"CM","CMP","CM8002","CMP8002","8002","LAX","KLAX","TBIT","2023-06-06 12:10","ICN","RKSI",805
"AV","AVA","AV4502","AVA4502","4502","LAX","KLAX","TBIT","2023-06-06 12:15","TPE","RCTP",830
"KE","KAL","KE18","KAL18","18","LAX","KLAX","TBIT","2023-06-06 12:30","ICN","RKSI",800
"UA","UAL","UA7945","UAL7945","7945","LAX","KLAX","TBIT","2023-06-06 12:45","NRT","RJAA",705
"PR","PAL","PR113","PAL113","113","LAX","KLAX","TBIT","2023-06-06 12:50","MNL","RPLL",880
"JL","JAL","JL61","JAL61","61","LAX","KLAX","TBIT","2023-06-06 13:05","NRT","RJAA",695
"SK","SAS","SK932","SAS932","932","LAX","KLAX","TBIT","2023-06-06 13:50","CPH","EKCH",640
"BR","EVA","BR3101","EVA3101","3101","LAX","KLAX","TBIT","2023-06-06 13:50","SAL","MSLP",300
"TK","THY","TK180","THY180","180","LAX","KLAX","TBIT","2023-06-06 13:55","IST","LTFM",785
"AF","AFR","AF8250","AFR8250","8250","LAX","KLAX","TBIT","2023-06-06 13:55","AMS","EHAM",610
"KE","KAL","KE3193","KAL3193","3193","LAX","KLAX","TBIT","2023-06-06 14:00","ATL","KATL",267
"SQ","SIA","SQ11","SIA11","11","LAX","KLAX","TBIT","2023-06-06 14:20","NRT","RJAA",690
"MH","MAS","MH9171","MAS9171","9171","LAX","KLAX","TBIT","2023-06-06 13:30","HND","RJTT",715
"WS","WJA","WS6148","WJA6148","6148","LAX","KLAX","TBIT","2023-06-06 14:30","MEX","MMMX",225
