"airline_name","airport_name","dep_iata","dep_time","top_airports","top_airlines","destination"
"Air Canada","Cairo International Airport","LHR","2023-06-05 22:10",4,28,"International"
"China Southern Airlines","Guangzhou Baiyun International Airport","LHR","2023-06-05 22:10",1,3,"International"
"Aeromexico","Ben Gurion International Airport","LHR","2023-06-05 22:10",6,4,"International"
"Tianjin Airlines","Xi'an Xianyang International Airport","LHR","2023-06-05 22:00",1,1,"International"
"Aegean Airlines","Eleftherios Venizelos International Airport","LHR","2023-06-05 22:15",6,3,"International"
"Emirates","Dubai International Airport","LHR","2023-06-05 22:15",8,3,"International"
"American Airlines","Kuwait International Airport","LHR","2023-06-05 22:20",2,113,"International"
"Air China","Shenzhen Bao'an International Airport","LHR","2023-06-05 22:05",1,3,"International"
"Vistara","Indira Gandhi International Airport","LHR","2023-06-05 22:20",3,2,"International"
"American Airlines","Cork Airport","LHR","2023-06-05 22:25",3,113,"International"
"British Airways","Hamad International Airport","LHR","2023-06-05 21:55",7,92,"International"
"Virgin Atlantic Airways","O.R. Tambo International Airport","LHR","2023-06-05 22:30",3,8,"International"
NA,"Istanbul Airport","LHR","2023-06-05 22:10",5,2,"International"
"American Airlines","Ben Gurion International Airport","LHR","2023-06-05 22:20",6,113,"International"
"American Airlines","Cape Town International Airport","LHR","2023-06-05 22:25",1,113,"International"
"Aeromexico","Benito Juarez International Airport","LHR","2023-06-05 22:30",2,4,"International"
"Avianca","Singapore Changi Airport","LHR","2023-06-05 22:05",6,1,"International"
"British Airways","Sao Paulo-Guarulhos International Airport","LHR","2023-06-05 22:20",2,92,"International"
"Air China","Beijing Capital International Airport","LHR","2023-06-05 22:40",2,3,"International"
"Beijing Capital Airlines","Qingdao Liuting International Airport","LHR","2023-06-05 22:30",1,1,"International"
"British Airways","Nnamdi Azikiwe International Airport","LHR","2023-06-05 22:25",1,92,"International"
"British Airways","Dubai International Airport","LHR","2023-06-05 22:25",8,92,"International"
"Delta Air Lines","Murtala Muhammed International Airport","LHR","2023-06-05 22:30",1,8,"International"
"Air Canada","Lisbon Humberto Delgado Airport","LHR","2023-06-06 06:00",9,28,"International"
"Air Canada","Vienna International Airport","LHR","2023-06-06 06:00",6,28,"International"
"Swiss","Zurich Airport","LHR","2023-06-06 06:00",10,9,"International"
"American Airlines","Barcelona-El Prat Airport","LHR","2023-06-06 06:10",7,113,"International"
"American Airlines","Adolfo Suarez Madrid-Barajas Airport","LHR","2023-06-06 06:15",9,113,"International"
"Air France","Paris Charles de Gaulle Airport","LHR","2023-06-06 06:20",9,13,"International"
"Air Canada","Warsaw Chopin Airport","LHR","2023-06-06 06:30",5,28,"International"
"British Airways","Prague Vaclav Havel Airport","LHR","2023-06-06 06:30",4,92,"International"
"China Airlines","Amsterdam Airport Schiphol","LHR","2023-06-06 06:30",13,3,"International"
NA,"Istanbul Airport","LHR","2023-06-06 06:45",5,2,"International"
"American Airlines","Malaga Airport","LHR","2023-06-06 06:40",2,113,"International"
"American Airlines","Dublin Airport","LHR","2023-06-06 06:40",15,113,"International"
"British Airways","Amsterdam Airport Schiphol","LHR","2023-06-06 06:40",13,92,"International"
"SAS","Stockholm Arlanda Airport","LHR","2023-06-06 06:40",6,10,"International"
"American Airlines","Aeroport Geneve-Cointrin","LHR","2023-06-06 06:45",10,113,"International"
"British Airways","Manchester Airport","LHR","2023-06-06 06:45",5,92,"Domestic"
"SAS","Copenhagen Airport","LHR","2023-06-06 06:45",8,10,"International"
"British Airways","Zurich Airport","LHR","2023-06-06 06:50",10,92,"International"
"British Airways","Berlin Brandenburg Airport","LHR","2023-06-06 06:50",5,92,"International"
"Hainan Airlines","Brussels Airport","LHR","2023-06-06 06:50",5,2,"International"
"Aegean Airlines","Munich International Airport","LHR","2023-06-06 06:55",10,3,"International"
"American Airlines","Eleftherios Venizelos International Airport","LHR","2023-06-06 06:55",6,113,"International"
"British Airways","Newcastle International Airport","LHR","2023-06-06 06:55",4,92,"Domestic"
"British Airways","Dublin Airport","LHR","2023-06-06 06:55",15,92,"International"
"Finnair","Stockholm Arlanda Airport","LHR","2023-06-06 07:00",6,16,"International"
"British Airways","Aberdeen International Airport","LHR","2023-06-06 07:00",4,92,"Domestic"
"British Airways","Edinburgh Airport","LHR","2023-06-06 07:00",9,92,"Domestic"
"Swiss","Aeroport Geneve-Cointrin","LHR","2023-06-06 07:00",10,9,"International"
"British Airways","Glasgow International Airport","LHR","2023-06-06 07:05",5,92,"Domestic"
"British Airways","Frankfurt Airport","LHR","2023-06-06 07:05",12,92,"International"
"British Airways","Munich International Airport","LHR","2023-06-06 07:05",10,92,"International"
"SAS","Oslo Airport, Gardermoen","LHR","2023-06-06 07:05",6,10,"International"
"American Airlines","Keflavik International Airport","LHR","2023-06-06 07:10",2,113,"International"
"British Airways","Marseille Provence Airport","LHR","2023-06-06 07:10",4,92,"International"
"British Airways","Vienna International Airport","LHR","2023-06-06 07:10",6,92,"International"
"American Airlines","Larnaca International Airport","LHR","2023-06-06 07:15",3,113,"International"
"Finnair","Copenhagen Airport","LHR","2023-06-06 07:15",8,16,"International"
"Finnair","Oslo Airport, Gardermoen","LHR","2023-06-06 07:15",6,16,"International"
"British Airways","Hamburg Airport","LHR","2023-06-06 07:15",5,92,"International"
"American Airlines","Barcelona-El Prat Airport","LHR","2023-06-06 07:25",7,113,"International"
"Finnair","Leonardo da Vinci-Fiumicino Airport","LHR","2023-06-06 07:25",5,16,"International"
NA,"Logan International Airport","LHR","2023-06-06 07:25",8,1,"International"
"Aegean Airlines","Frankfurt Airport","LHR","2023-06-06 07:30",12,3,"International"
"American Airlines","George Best Belfast City Airport","LHR","2023-06-06 07:30",5,113,"Domestic"
"American Airlines","Helsinki-Vantaa Airport","LHR","2023-06-06 07:30",3,113,"International"
"Finnair","Lisbon Humberto Delgado Airport","LHR","2023-06-06 07:30",9,16,"International"
"British Airways","Jersey Airport","LHR","2023-06-06 07:30",4,92,"International"
"American Airlines","Warsaw Chopin Airport","LHR","2023-06-06 07:35",5,113,"International"
"British Airways","Nice Cote d'Azur International Airport","LHR","2023-06-06 07:35",7,92,"International"
"British Airways","Duesseldorf International Airport","LHR","2023-06-06 07:35",7,92,"International"
"American Airlines","Toulouse-Blagnac Airport","LHR","2023-06-06 07:40",2,113,"International"
"American Airlines","Mikonos Airport","LHR","2023-06-06 07:40",1,113,"International"
"American Airlines","Dublin Airport","LHR","2023-06-06 07:40",15,113,"International"
"British Airways","Bologna Guglielmo Marconi Airport","LHR","2023-06-06 07:40",3,92,"International"
"American Airlines","Logan International Airport","LHR","2023-06-06 07:45",8,113,"International"
"American Airlines","Adolfo Suarez Madrid-Barajas Airport","LHR","2023-06-06 07:45",9,113,"International"
"Air Canada","Newark Liberty International Airport","LHR","2023-06-06 07:45",6,28,"International"
"American Airlines","Edinburgh Airport","LHR","2023-06-06 07:50",9,113,"Domestic"
"American Airlines","Ibiza Airport","LHR","2023-06-06 07:50",1,113,"International"
"British Airways","Florence Peretola Airport","LHR","2023-06-06 07:50",1,92,"International"
"American Airlines","Ben Gurion International Airport","LHR","2023-06-06 08:00",6,113,"International"
"American Airlines","Santorini Airport","LHR","2023-06-06 08:00",1,113,"International"
"Air Canada","Lisbon Humberto Delgado Airport","LHR","2023-06-06 08:00",9,28,"International"
"Air Canada","Washington Dulles International Airport","LHR","2023-06-06 08:00",4,28,"International"
"Air Canada","Duesseldorf International Airport","LHR","2023-06-06 08:05",7,28,"International"
"British Airways","Houari Boumediene Airport","LHR","2023-06-06 08:05",2,92,"International"
"American Airlines","Brussels Airport","LHR","2023-06-06 08:15",5,113,"International"
"American Airlines","Dublin Airport","LHR","2023-06-06 08:15",15,113,"International"
"American Airlines","Aeroport Geneve-Cointrin","LHR","2023-06-06 08:15",10,113,"International"
"Finnair","Naples International Airport","LHR","2023-06-06 08:15",3,16,"International"
"Finnair","Tirana International Airport Nene Tereza","LHR","2023-06-06 08:15",1,16,"International"
"American Airlines","Leonardo da Vinci-Fiumicino Airport","LHR","2023-06-06 08:20",5,113,"International"
"American Airlines","Pisa International Airport","LHR","2023-06-06 08:20",2,113,"International"
"Aeromexico","Ben Gurion International Airport","LHR","2023-06-06 08:20",6,4,"International"
"American Airlines","Luxembourg Findel Airport","LHR","2023-06-06 08:25",1,113,"International"
