"airline_iata","airline_icao","flight_iata","flight_icao","flight_number","dep_iata","dep_icao","dep_terminal","dep_time","arr_iata","arr_icao","duration"
"LY","ELY","LY8060","ELY8060","8060","LHR","EGLL","3","2023-06-06 12:35","MIA","KMIA",566
"BA","BAW","BA7055","BAW7055","7055","LHR","EGLL","5","2023-06-06 10:50","MAD","LEMD",145
"CZ","CSN","CZ7226","CSN7226","7226","LHR","EGLL","5","2023-06-06 12:25","PVG","ZSPD",750
"AA","AAL","AA6896","AAL6896","6896","LHR","EGLL","5","2023-06-06 12:25","AMS","EHAM",85
"AY","FIN","AY5928","FIN5928","5928","LHR","EGLL","5","2023-06-06 11:20","ARN","ESSA",155
"IB","IBE","IB7423","IBE7423","7423","LHR","EGLL","5","2023-06-06 12:25","GIG","SBGL",700
"BA","BAW","BA1544","BAW1544","1544","LHR","EGLL","3","2023-06-06 12:15","ORD","KORD",530
"OS","AUA","OS8283","AUA8283","8283","LHR","EGLL","2","2023-06-06 12:40","YHZ","CYHZ",410
"VS","VIR","VS141","VIR141","141","LHR","EGLL","3","2023-06-06 12:45","LAX","KLAX",670
"BA","BAW","BA1344","BAW1344","1344","LHR","EGLL","5","2023-06-06 12:00","JER","EGJJ",65
"BA","BAW","BA816","BAW816","816","LHR","EGLL","5","2023-06-06 12:40","CPH","EKCH",115
"LH","DLH","LH9378","DLH9378","9378","LHR","EGLL","2","2023-06-06 12:20","SFO","KSFO",660
"VS","VIR","VS4039","VIR4039","4039","LHR","EGLL","3","2023-06-06 12:55","DTW","KDTW",505
"BA","BAW","BA952","BAW952","952","LHR","EGLL","5","2023-06-06 12:35","MUC","EDDM",115
"QR","QTR","QR6271","QTR6271","6271","LHR","EGLL","5","2023-06-06 12:45","EDI","EGPH",85
"BA","BAW","BA35","BAW35","35","LHR","EGLL","5","2023-06-06 12:45","MAA","VOMM",615
"AA","AAL","AA6968","AAL6968","6968","LHR","EGLL","5","2023-06-06 12:35","IAD","KIAD",480
"AA","AAL","AA737","AAL737","737","LHR","EGLL","3","2023-06-06 13:00","PHL","KPHL",473
"LX","SWR","LX319","SWR319","319","LHR","EGLL","2","2023-06-06 12:05","ZRH","LSZH",100
"AC","ACA","AC5357","ACA5357","5357","LHR","EGLL","2","2023-06-06 13:05","ORD","KORD",535
"AA","AAL","AA6629","AAL6629","6629","LHR","EGLL","3","2023-06-06 12:55","OSL","ENGM",130
"AA","AAL","AA6553","AAL6553","6553","LHR","EGLL","5","2023-06-06 12:55","IST","LTFM",250
"BA","BAW","BA193","BAW193","193","LHR","EGLL","5","2023-06-06 12:50","DFW","KDFW",600
"AC","ACA","AC7402","ACA7402","7402","LHR","EGLL","2","2023-06-06 12:30","BKK","VTBS",690
"QR","QTR","QR9736","QTR9736","9736","LHR","EGLL","5","2023-06-06 13:10","HAJ","EDDV",95
