"airline_iata","airline_icao","flight_iata","flight_icao","flight_number","dep_iata","dep_icao","dep_terminal","dep_time","arr_iata","arr_icao","delayed","duration"
"G3","GLO","G35557","GLO5557","5557","LHR","EGLL","4","2023-06-07 08:40","AMS","EHAM",NA,80
"BA","BAW","BA1504","BAW1504","1504","LHR","EGLL","3","2023-06-07 08:40","DFW","KDFW",NA,605
"AA","AAL","AA6425","AAL6425","6425","LHR","EGLL","5","2023-06-07 08:40","BRU","EBBR",NA,70
"JL","JAL","JL6501","JAL6501","6501","LHR","EGLL","5","2023-06-07 08:45","EDI","EGPH",NA,85
"QF","QFA","QF3537","QFA3537","3537","LHR","EGLL","5","2023-06-07 08:25","BER","EDDB",15,115
"QR","QTR","QR5975","QTR5975","5975","LHR","EGLL","5","2023-06-07 08:35","NCL","EGNT",NA,80
"BA","BAW","BA1306","BAW1306","1306","LHR","EGLL","5","2023-06-07 08:20","ABZ","EGPD",23,95
"AC","ACA","AC6948","ACA6948","6948","LHR","EGLL","2","2023-06-07 08:50","CGN","EDDK",NA,80
"AC","ACA","AC6818","ACA6818","6818","LHR","EGLL","2","2023-06-07 08:40","ZRH","LSZH",8,115
"QR","QTR","QR9696","QTR9696","9696","LHR","EGLL","5","2023-06-07 08:35","DUB","EIDW",17,85
"EW","EWG","EW7465","EWG7465","7465","LHR","EGLL","2","2023-06-07 08:45","HAM","EDDH",9,90
"QR","QTR","QR6019","QTR6019","6019","LHR","EGLL","5","2023-06-07 08:45","MAN","EGCC",4,70
"IB","IBE","IB7484","IBE7484","7484","LHR","EGLL","5","2023-06-07 08:55","BCN","LEBL",NA,135
"AA","AAL","AA8035","AAL8035","8035","LHR","EGLL","2","2023-06-07 08:50","DUB","EIDW",7,85
"VS","VIR","VS457","VIR457","457","LHR","EGLL","3","2023-06-07 08:20","TLV","LLBG",37,320
"OS","AUA","OS452","AUA452","452","LHR","EGLL","2","2023-06-07 09:05","VIE","LOWW",NA,135
"AA","AAL","AA6774","AAL6774","6774","LHR","EGLL","3","2023-06-07 09:05","ZAG","LDZA",NA,145
"UL","ALK","UL3190","ALK3190","3190","LHR","EGLL","3","2023-06-07 07:30","HEL","EFHK",96,170
"AA","AAL","AA6554","AAL6554","6554","LHR","EGLL","5","2023-06-07 08:45","CDG","LFPG",21,75
"LH","DLH","LH2471","DLH2471","2471","LHR","EGLL","2","2023-06-07 09:00","MUC","EDDM",5,110
"CX","CPA","CX7139","CPA7139","7139","LHR","EGLL","3","2023-06-07 08:50","PRG","LKPR",15,120
"BA","BAW","BA712","BAW712","712","LHR","EGLL","5","2023-06-07 09:10","ZRH","LSZH",4,120
"G3","GLO","G35282","GLO5282","5282","LHR","EGLL","4","2023-06-07 09:00","CDG","LFPG",14,80
"AA","AAL","AA99","AAL99","99","LHR","EGLL","3","2023-06-07 09:15","ORD","KORD",NA,515
"QR","QTR","QR9748","QTR9748","9748","LHR","EGLL","5","2023-06-07 09:15","NCE","LFMN",8,135
"QR","QTR","QR9735","QTR9735","9735","LHR","EGLL","5","2023-06-07 09:15","GVA","LSGG",8,105
"BA","BAW","BA524","BAW524","524","LHR","EGLL","5","2023-06-07 07:50","FLR","LIRQ",78,130
"DL","DAL","DL11","DAL11","11","LHR","EGLL","3","2023-06-07 09:20","MSP","KMSP",NA,530
"BA","BAW","BA4002","BAW4002","4002","LHR","EGLL","2","2023-06-07 08:45","LDY","EGAE",NA,85
"DL","DAL","DL5997","DAL5997","5997","LHR","EGLL","3","2023-06-07 09:20","JFK","KJFK",NA,465
