"airline_iata","airline_icao","flight_iata","flight_icao","flight_number","dep_iata","dep_icao","dep_terminal","dep_time","arr_iata","arr_icao","duration"
"QR","QTR","QR6270","QTR6270",6270,"LHR","EGLL","5","2023-06-05 14:15","EDI","EGPH",85
"SK","SAS","SK532","SAS532",532,"LHR","EGLL","2","2023-06-05 13:55","ARN","ESSA",150
"SN","BEL","SN9106","BEL9106",9106,"LHR","EGLL","2","2023-06-05 14:10","SFO","KSFO",655
"AA","AAL","AA6541","AAL6541",6541,"LHR","EGLL","5","2023-06-05 13:35","LIS","LPPT",165
"AA","AAL","AA91","AAL91",91,"LHR","EGLL","3","2023-06-05 14:25","ORD","KORD",510
"IB","IBE","IB7361","IBE7361",7361,"LHR","EGLL","3","2023-06-05 14:00","BAH","OBBI",385
"BA","BAW","BA263","BAW263",263,"LHR","EGLL","5","2023-06-05 14:05","RUH","OERK",400
"BA","BAW","BA732","BAW732",732,"LHR","EGLL","5","2023-06-05 14:00","GVA","LSGG",100
"AC","ACA","AC6828","ACA6828",6828,"LHR","EGLL","2","2023-06-05 13:45","ZRH","LSZH",105
"AA","AAL","AA6462","AAL6462",6462,"LHR","EGLL","5","2023-06-05 14:15","FRA","EDDF",105
"LX","SWR","LX355","SWR355",355,"LHR","EGLL","2","2023-06-05 14:25","GVA","LSGG",100
"IB","IBE","IB7464","IBE7464",7464,"LHR","EGLL","5","2023-06-05 14:20","MAD","LEMD",145
"VS","VIR","VS9","VIR9",9,"LHR","EGLL","3","2023-06-05 14:40","JFK","KJFK",485
"BA","BAW","BA632","BAW632",632,"LHR","EGLL","5","2023-06-05 14:10","ATH","LGAV",225
"AA","AAL","AA6610","AAL6610",6610,"LHR","EGLL","5","2023-06-05 14:30","BLQ","LIPE",130
"BA","BAW","BA115","BAW115",115,"LHR","EGLL","5","2023-06-05 14:35","JFK","KJFK",475
"IB","IBE","IB4013","IBE4013",4013,"LHR","EGLL","3","2023-06-05 14:40","MIA","KMIA",566
"LM","LOG","LM676","LOG676",676,"LHR","EGLL","2","2023-06-05 14:15","IOM","EGNS",85
"AC","ACA","AC6952","ACA6952",6952,"LHR","EGLL","2","2023-06-05 14:45","CGN","EDDK",80
"EI","EIN","EI8987","EIN8987",8987,"LHR","EGLL","5","2023-06-05 14:05","SFO","KSFO",665
"EI","EIN","EI8989","EIN8989",8989,"LHR","EGLL","5","2023-06-05 14:40","PHX","KPHX",650
"BA","BAW","BA197","BAW197",197,"LHR","EGLL","5","2023-06-05 14:35","IAH","KIAH",615
"EI","EIN","EI8913","EIN8913",8913,"LHR","EGLL","5","2023-06-05 14:40","BOS","KBOS",440
"QF","QFA","QF8002","QFA8002",8002,"LHR","EGLL","3","2023-06-05 14:20","DXB","OMDB",420
"MF","CXA","MF9748","CXA9748",9748,"LHR","EGLL","4","2023-06-05 14:45","AMS","EHAM",75
"NZ","ANZ","NZ4290","ANZ4290",4290,"LHR","EGLL","4","2023-06-05 14:50","AUH","OMAA",410
"AC","ACA","AC6946","ACA6946",6946,"LHR","EGLL","2","2023-06-05 14:35","STR","EDDS",95
"BA","BAW","BA119","BAW119",119,"LHR","EGLL","5","2023-06-05 14:15","BLR","VOBL",600
"UA","UAL","UA9634","UAL9634",9634,"LHR","EGLL","2","2023-06-05 14:50","HAM","EDDH",90
"AA","AAL","AA8043","AAL8043",8043,"LHR","EGLL","2","2023-06-05 14:20","DUB","EIDW",85
"VS","VIR","VS4019","VIR4019",4019,"LHR","EGLL","3","2023-06-05 15:10","SLC","KSLC",630
"AA","AAL","AA6974","AAL6974",6974,"LHR","EGLL","5","2023-06-05 15:05","BNA","KBNA",540
"AC","ACA","AC5365","ACA5365",5365,"LHR","EGLL","2","2023-06-05 15:20","ORD","KORD",535
"AA","AAL","AA105","AAL105",105,"LHR","EGLL","3","2023-06-05 15:15","JFK","KJFK",469
"BA","BAW","BA432","BAW432",432,"LHR","EGLL","5","2023-06-05 14:30","AMS","EHAM",80
"QR","QTR","QR5983","QTR5983",5983,"LHR","EGLL","3","2023-06-05 15:05","MRS","LFML",120
"QR","QTR","QR5903","QTR5903",5903,"LHR","EGLL","5","2023-06-05 15:10","LIS","LPPT",165
"AA","AAL","AA6594","AAL6594",6594,"LHR","EGLL","3","2023-06-05 14:00","SOF","LBSF",190
"AY","FIN","AY610","FIN610",610,"LHR","EGLL","5","2023-06-05 15:00","PMO","LICJ",175
"BA","BAW","BA354","BAW354",354,"LHR","EGLL","5","2023-06-05 15:00","NCE","LFMN",125
"AF","AFR","AF3586","AFR3586",3586,"LHR","EGLL","3","2023-06-05 15:25","SEA","KSEA",630
"BA","BAW","BA219","BAW219",219,"LHR","EGLL","5","2023-06-05 14:50","DEN","KDEN",590
"EI","EIN","EI385","EIN385",385,"LHR","EGLL","2","2023-06-05 14:45","SNN","EINN",85
"IB","IBE","IB7481","IBE7481",7481,"LHR","EGLL","5","2023-06-05 14:30","BCN","LEBL",125
"AC","ACA","AC2850","ACA2850",2850,"LHR","EGLL","2","2023-06-05 15:00","CAI","HECA",280
"BA","BAW","BA830","BAW830",830,"LHR","EGLL","5","2023-06-05 15:15","DUB","EIDW",90
"IB","IBE","IB7557","IBE7557",7557,"LHR","EGLL","5","2023-06-05 15:00","MAN","EGCC",65
"BA","BAW","BA872","BAW872",872,"LHR","EGLL","3","2023-06-05 15:10","KRK","EPKK",155
"AA","AAL","AA6729","AAL6729",6729,"LHR","EGLL","5","2023-06-05 14:40","MUC","EDDM",120
"AA","AAL","AA8396","AAL8396",8396,"LHR","EGLL","4","2023-06-05 15:15","TLV","LLBG",285
"WY","OMA","WY6432","OMA6432",6432,"LHR","EGLL","4","2023-06-05 15:05","DOH","OTHH",405
"UA","UAL","UA8581","UAL8581",8581,"LHR","EGLL","2","2023-06-05 14:10","YVR","CYVR",575
"AA","AAL","AA6956","AAL6956",6956,"LHR","EGLL","5","2023-06-05 15:30","PDX","KPDX",590
"AA","AAL","AA6891","AAL6891",6891,"LHR","EGLL","5","2023-06-05 15:05","CDG","LFPG",80
"BA","BAW","BA942","BAW942",942,"LHR","EGLL","5","2023-06-05 14:15","DUS","EDDL",85
"BA","BAW","BA850","BAW850",850,"LHR","EGLL","5","2023-06-05 14:20","WAW","EPWA",145
"BA","BAW","BA1448","BAW1448",1448,"LHR","EGLL","5","2023-06-05 15:20","EDI","EGPH",85
"BA","BAW","BA243","BAW243",243,"LHR","EGLL","5","2023-06-05 15:20","MEX","MMMX",685
"SK","SAS","SK806","SAS806",806,"LHR","EGLL","2","2023-06-05 15:35","OSL","ENGM",135
"AM","AMX","AM6046","AMX6046",6046,"LHR","EGLL","4","2023-06-05 15:30","CDG","LFPG",80
"LH","DLH","LH909","DLH909",909,"LHR","EGLL","2","2023-06-05 15:30","FRA","EDDF",95
"DL","DAL","DL5973","DAL5973",5973,"LHR","EGLL","3","2023-06-05 15:40","MCO","KMCO",561
"RO","ROT","RO392","ROT392",392,"LHR","EGLL","4","2023-06-05 14:50","OTP","LROP",200
"EI","EIN","EI8997","EIN8997",8997,"LHR","EGLL","5","2023-06-05 15:35","ORD","KORD",520
"BA","BAW","BA277","BAW277",277,"LHR","EGLL","5","2023-06-05 15:00","HYD","VOHS",585
"AC","ACA","AC6899","ACA6899",6899,"LHR","EGLL","2","2023-06-05 15:10","DUB","EIDW",85
"AA","AAL","AA6459","AAL6459",6459,"LHR","EGLL","5","2023-06-05 15:35","AMS","EHAM",80
