"airline_iata","airline_icao","flight_iata","flight_icao","flight_number","dep_iata","dep_icao","dep_terminal","dep_time","arr_iata","arr_icao","duration"
"G3","GLO","G36496","GLO6496","6496","YYZ","CYYZ","3","2023-06-06 06:04","MIA","KMIA",213
"TP","TAP","TP8294","TAP8294","8294","YYZ","CYYZ","1","2023-06-06 06:05","YYT","CYYT",177
"YX","RPA","YX3607","RPA3607","3607","YYZ","CYYZ","1","2023-06-06 06:15","EWR","KEWR",103
"DL","DAL","DL1212","DAL1212","1212","YYZ","CYYZ","3","2023-06-06 06:15","ATL","KATL",139
"KE","KAL","KE3358","KAL3358","3358","YYZ","CYYZ","3","2023-06-06 06:15","DTW","KDTW",97
"WG","SWG","WG720","SWG720","720","YYZ","CYYZ","3","2023-06-06 06:15","MBJ","MKJS",240
"WG","SWG","WG602","SWG602","602","YYZ","CYYZ","3","2023-06-06 06:15","CCC","MUCC",205
"OO","SKW","OO3881","SKW3881","3881","YYZ","CYYZ","3","2023-06-06 06:00","MSP","KMSP",146
"AC","ACA","AC480","ACA480","480","YYZ","CYYZ","1","2023-06-06 06:20","YUL","CYUL",77
"AC","ACA","AC5992","ACA5992","5992","YYZ","CYYZ","1","2023-06-06 06:30","SFO","KSFO",332
"WG","SWG","WG535","SWG535","535","YYZ","CYYZ","3","2023-06-06 07:55","CUN","MMUN",245
"WG","SWG","WG4362","SWG4362","4362","YYZ","CYYZ","3","2023-06-06 06:20","PUJ","MDPC",260
"RV","ROU","RV1670","ROU1670","1670","YYZ","CYYZ","1","2023-06-06 06:30","MCO","KMCO",165
"AC","ACA","AC8901","ACA8901","8901","YYZ","CYYZ","1","2023-06-06 06:30","ORD","KORD",110
"WS","WJA","WS653","WJA653","653","YYZ","CYYZ","3","2023-06-06 06:30","YYC","CYYC",253
"AC","ACA","AC8872","ACA8872","8872","YYZ","CYYZ","1","2023-06-06 06:30","EWR","KEWR",90
"JL","JAL","JL7451","JAL7451","7451","YYZ","CYYZ","3","2023-06-06 06:33","ORD","KORD",113
"F8","FLE","F8635","FLE635","635","YYZ","CYYZ","3","2023-06-06 06:20","YEG","CYEG",255
"F8","FLE","F8643","FLE643","643","YYZ","CYYZ","3","2023-06-06 06:30","YWG","CYWG",160
"WO","WSW","WO360","WSW360","360","YYZ","CYYZ","3","2023-06-06 06:40","YHZ","CYHZ",125
"TP","TAP","TP8289","TAP8289","8289","YYZ","CYYZ","1","2023-06-06 06:20","YHZ","CYHZ",125
"WS","WJA","WS7569","WJA7569","7569","YYZ","CYYZ","3","2023-06-06 06:47","LGA","KLGA",103
