"airline_iata","airline_icao","flight_iata","flight_icao","flight_number","dep_iata","dep_icao","dep_terminal","dep_time","arr_iata","arr_icao","delayed","duration"
"OO","SKW","OO3881","SKW3881","3881","YYZ","CYYZ","3","2023-06-08 06:00","MSP","KMSP",NA,146
"AA","AAL","AA5188","AAL5188","5188","YYZ","CYYZ","3","2023-06-08 06:00","CLT","KCLT",NA,126
"BA","BAW","BA5760","BAW5760","5760","YYZ","CYYZ","3","2023-06-08 06:04","MIA","KMIA",NA,213
"AM","AMX","AM3802","AMX3802","3802","YYZ","CYYZ","3","2023-06-08 06:00","JFK","KJFK",NA,122
"AC","ACA","AC5997","ACA5997","5997","YYZ","CYYZ","1","2023-06-08 06:15","EWR","KEWR",NA,103
"AC","ACA","AC181","ACA181","181","YYZ","CYYZ","1","2023-06-08 06:05","YVR","CYVR",1,311
"KE","KAL","KE3795","KAL3795","3795","YYZ","CYYZ","3","2023-06-08 06:15","ATL","KATL",NA,139
"AC","ACA","AC684","ACA684","684","YYZ","CYYZ","1","2023-06-08 06:05","YYT","CYYT",19,177
"WS","WJA","WS6351","WJA6351","6351","YYZ","CYYZ","3","2023-06-08 06:15","DTW","KDTW",NA,97
"AC","ACA","AC480","ACA480","480","YYZ","CYYZ","1","2023-06-08 06:20","YUL","CYUL",NA,77
"WG","SWG","WG6824","SWG6824","6824","YYZ","CYYZ","3","2023-06-08 06:15","VRA","MUVR",NA,215
"WG","SWG","WG6024","SWG6024","6024","YYZ","CYYZ","3","2023-06-08 06:15","CCC","MUCC",3,205
"F8","FLE","F8635","FLE635","635","YYZ","CYYZ","3","2023-06-08 06:20","YEG","CYEG",NA,255
"AC","ACA","AC600","ACA600","600","YYZ","CYYZ","1","2023-06-08 06:20","YHZ","CYHZ",NA,125
"AC","ACA","AC1754","ACA1754","1754","YYZ","CYYZ","1","2023-06-08 06:20","CCC","MUCC",NA,205
"F8","FLE","F8684","FLE684","684","YYZ","CYYZ","3","2023-06-08 06:25","YSJ","CYSJ",NA,125
"NZ","ANZ","NZ9987","ANZ9987","9987","YYZ","CYYZ","1","2023-06-08 06:10","IAH","KIAH",20,204
"AC","ACA","AC1670","ACA1670","1670","YYZ","CYYZ","1","2023-06-08 06:30","MCO","KMCO",NA,165
"QK","JZA","QK8901","JZA8901","8901","YYZ","CYYZ","1","2023-06-08 06:30","ORD","KORD",NA,110
"AC","ACA","AC5992","ACA5992","5992","YYZ","CYYZ","1","2023-06-08 06:30","SFO","KSFO",NA,332
"WS","WJA","WS653","WJA653","653","YYZ","CYYZ","3","2023-06-08 06:30","YYC","CYYC",NA,253
"F8","FLE","F8643","FLE643","643","YYZ","CYYZ","3","2023-06-08 06:30","YWG","CYWG",NA,160
"ZW","AWI","ZW6225","AWI6225","6225","YYZ","CYYZ","3","2023-06-08 06:33","ORD","KORD",NA,113
"AC","ACA","AC101","ACA101","101","YYZ","CYYZ","1","2023-06-08 06:45","YVR","CYVR",NA,290
"UA","UAL","UA8714","UAL8714","8714","YYZ","CYYZ","1","2023-06-08 06:30","EWR","KEWR",NA,90
"AA","AAL","AA4542","AAL4542","4542","YYZ","CYYZ","3","2023-06-08 06:51","LGA","KLGA",NA,92
"WO","WSW","WO368","WSW368","368","YYZ","CYYZ","3","2023-06-08 06:55","YYG","CYYG",NA,135
"F8","FLE","F8601","FLE601","601","YYZ","CYYZ","3","2023-06-08 06:55","YVR","CYVR",NA,310
"F8","FLE","F81625","FLE1625","1625","YYZ","CYYZ","3","2023-06-08 06:55","BNA","KBNA",NA,130
"F8","FLE","F8658","FLE658","658","YYZ","CYYZ","3","2023-06-08 06:55","YHZ","CYHZ",NA,135
"DL","DAL","DL5013","DAL5013","5013","YYZ","CYYZ","3","2023-06-08 06:47","LGA","KLGA",NA,103
"PD","POE","PD303","POE303","303","YYZ","CYYZ","3","2023-06-08 06:59","YVR","CYVR",NA,306
"WS","WJA","WS626","WJA626","626","YYZ","CYYZ","3","2023-06-08 07:00","YYT","CYYT",23,180
"AC","ACA","AC440","ACA440","440","YYZ","CYYZ","1","2023-06-08 07:00","YOW","CYOW",NA,63
"AC","ACA","AC400","ACA400","400","YYZ","CYYZ","1","2023-06-08 07:00","YUL","CYUL",NA,77
"NZ","ANZ","NZ9809","ANZ9809","9809","YYZ","CYYZ","1","2023-06-08 07:00","ORD","KORD",NA,115
"AC","ACA","AC602","ACA602","602","YYZ","CYYZ","1","2023-06-08 07:00","YHZ","CYHZ",NA,125
"WG","SWG","WG730","SWG730","730","YYZ","CYYZ","3","2023-06-08 07:00","MBJ","MKJS",NA,240
"TS","TSC","TS326","TSC326","326","YYZ","CYYZ","3","2023-06-08 07:00","CUN","MMUN",NA,245
"AA","AAL","AA4357","AAL4357","4357","YYZ","CYYZ","3","2023-06-08 07:01","JFK","KJFK",NA,111
"AS","ASA","AS6848","ASA6848","6848","YYZ","CYYZ","3","2023-06-08 07:10","DFW","KDFW",NA,204
"WG","SWG","WG4365","SWG4365","4365","YYZ","CYYZ","3","2023-06-08 07:15","PUJ","MDPC",NA,260
"WO","WSW","WO360","WSW360","360","YYZ","CYYZ","3","2023-06-08 07:15","YHZ","CYHZ",10,125
"QK","JZA","QK8780","JZA8780","8780","YYZ","CYYZ","1","2023-06-08 07:20","DCA","KDCA",NA,91
"WO","WSW","WO644","WSW644","644","YYZ","CYYZ","3","2023-06-08 07:20","MBJ","MKJS",11,255
"WS","WJA","WS1228","WJA1228","1228","YYZ","CYYZ","3","2023-06-08 07:30","MCO","KMCO",10,164
