"name","iata_code","icao_code"
"Airlink","4Z","LNK"
"Air Corsica","XK","CCM"
"Emirates","EK","UAE"
"Envoy Air","MQ","ENY"
"Air Niugini","PX","ANG"
"TAROM","RO","ROT"
"Surinam Airways","PY","SLM"
"AirExplore","ED","AXE"
"Air Arabia","G9","ABY"
"Azerbaijan Airlines","J2","AHY"
"Croatia Airlines","OU","CTN"
"Etihad","EY","ETD"
"Evelop Airlines","E9","EVE"
"Flydubai","FZ","FDB"
"FlyOne","5F","FIA"
"GoJet Airlines","G7","GJS"
"Icelandair","FI","ICE"
"Kuwait Airways","KU","KAC"
"Air Malta","KM","AMC"
"MEA","ME","MEA"
"Mesa Airlines","YV","ASH"
"MIAT - Mongolian Airlines","OM","MGL"
"NordStar","Y7","TYA"
"Nouvelair Tunisie","BJ","LBT"
"Royal Air Maroc","AT","RAM"
"Saudi Arabian Airlines","SV","SVA"
"Singapore Airlines","SQ","SIA"
"Airkenya Express","P2","XAK"
"Albatros Airlines","G0","GAL"
"Air Algerie","AH","DAH"
"Aurora Airlines","HZ","SHU"
"Azores Airlines","S4","RZO"
"Bulgaria Air","FB","LZB"
"Camair-Co","QC","CRC"
"Cebu Pacific","5J","CEB"
"Delta Air Lines","DL","DAL"
"Ethiopian Airlines","ET","ETH"
"Flynas","XY","KNE"
"Georgian Airways","A9","TGZ"
"Hawaiian Airlines","HA","HAL"
"LAM - Linhas Aereas De Mocambique","TM","LAM"
"LATAM Airlines Brasil","JJ","TAM"
"Malindo Air","OD","MXD"
"Mango","JE","MNO"
"Air Namibia","SW","NMB"
"Olympic Air","OA","OAL"
"Pakistan International Airlines","PK","PIA"
"Qantas Airways","QF","QFA"
"Republic Airline","YX","RPA"
"RwandAir","WB","RWD"
"SATA - Air Acores","SP","SAT"
"Scat Air","DV","VSV"
"Air Seychelles","HM","SEY"
"Solomon Airlines","IE","SOL"
"SpiceJet","SG","SEJ"
"TAG Airlines","5U","TGU"
"Thai AirAsia X","XJ","TAX"
"Turkish Airlines","TK","THY"
"Ural Airlines","U6","SVR"
"Vistara","UK","VTI"
"Lufthansa","LH","DLH"
"Aerolineas Argentinas","AR","ARG"
"Aeromar","VW","TAO"
"AirAsia Philippines","Z2","APG"
"AirAsia X","D7","XAX"
"Alaska Airlines","AS","ASA"
"Alitalia","AZ","AZA"
"Air Arabia Egypt","E5","RBG"
"Air Arabia Maroc","3O","MAC"
"Air Asia","AK","AXM"
"Belavia","B2","BRU"
"Bhutan Airlines","B3","BTN"
"Biman Bangladesh Airlines","BG","BBC"
"Air Canada","AC","ACA"
"Canadian North","5T","MPE"
"Air Dolomiti","EN","DLA"
"EL AL Israel Airlines","LY","ELY"
"Air France","AF","AFR"
"Go Air","G8*","GOW"
"Hahn Air Lines","HR","HHN"
"Indonesia AirAsia","QZ","AWQ"
"Jazz Aviation","QK","JZA"
"Kam Air","RQ*","KMF"
"Kenya Airways","KQ","KQA"
"Korean Air","KE","KAL"
"Lao Airlines","QV","LAO"
"LATAM Airlines Ecuador","XL","LNE"
"LATAM Airlines Peru","LP","LPE"
"Luxair","LG","LGL"
"Mahan Air","W5","IRM"
"Malaysia Airlines","MH","MAS"
"Air Mauritius","MK","MAU"
"Neos","NO*","NOS"
"Nile Air","NP","NIA"
"Norwegian","DY","NAX"
"Novoair","VQ","NVQ"
"Paranair","ZP","AZP"
"Pegasus","PC","PGT"
"Rex. Regional Express","ZL","RXA"
"Royal Jordanian","RJ","RJA"
"Air Serbia","JU","ASL"
"Silver Airways","3M","SIL"
"SunExpress","XQ*","SXS"
"Swiss","LX","SWR"
"TAP Portugal","TP","TAP"
"Thai AirAsia","FD","AIQ"
"Ukraine International Airlines","PS","AUI"
"Uzbekistan Airways","HY","UZB"
"Air Vanuatu","NF","AVN"
"Vueling Airlines","VY","VLG"
"Wings Air","IW","WON"
"Air Wisconsin","ZW","AWI"
"Yakutia Air","R3","SYL"
"Yemenia - Yemen Airways","IY","IYE"
"ABX Air","GB","ABX"
"AirAsia India","I5","IAD"
"Aruba Airlines","AG","ARU"
"ASL Airlines France","5O","FPO"
"Austrian","OS","AUA"
"Avion Express","X9","NVD"
"Bassaka Air","5B*","BSX"
"Binter Canarias","NT","IBB"
"Air Botswana","BP","BOT"
"Buraq Air Transport","UZ","BRQ"
"Cambodia Angkor Air","K6","KHV"
"Canaryfly","PM","CNF"
"Cargolux Airlines International","CV","CLX"
"Condor","DE","CFG"
"Copa Airlines","CM","CMP"
"CorsAir","SS","CRL"
"Cubana","CU","CUB"
"Edelweiss Air","WK","EDW"
"Ellinair","EL","ELB"
"FlyFirefly","FY","FFM"
"GOL Linhas Aereas Inteligentes","G3","GLO"
"HiFly","5K","HFY"
"Horizon Air","QX","QXE"
"Air India Express","IX*","AXB"
"Iran Airtour Airline","B9","IRB"
"Iran Aseman Airline","EP","IRC"
"Israir Airlines","6H","ISR"
"Jazeera Airways","J9*","JZR"
"LATAM Airlines Colombia","4C","ARE"
"Lion Airlines","JT*","LNI"
"LOT - Polish Airlines","LO","LOT"
"Air New Zealand","NZ","ANZ"
